"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119966";"Argentina";"Raspberry and cassis aromas are fresh and upright while showing wiry, grassy accents. Full bodied, this features a jammy, pulpy palate that's fresh but low on definition. Herbal, lightly green infiltrations drift onto a solid, tannic finish. Drink through 2018.";"Pedernal";"90";"43";"Other";"San Juan";"Michael Schachner";"Finca Las Moras 2010 Pedernal Malbec (San Juan)";"Malbec";"Finca Las Moras"
"119956";"Argentina";"Compared to the regular 2006 Malbec from Chakana, this wine steps up in weight class and wins the crown. It's a serious but inviting red with spongey, ripe berry aromas topped by pure raspberry, cherry and cola flavors. It's both racy and composed, with a pile of bitter chocolate on the long finish. Good through 2009 at least.";"Reserve";"91";"25";"Mendoza Province";"Luján de Cuyo";"Michаеl Schаchnеr";"Chakana 2006 Reserve Malbec (Luján de Cuyo)";"Malbec";"Chakana"
"119950";"Argentina";"Andeluna's top wines tend to be ripe and plump, and so they come across as easy to drink and less demanding. This blend of Malbec, Cabernet Sauvignon, Merlot and Cabernet Franc is devoid of astringency and hard tannins. It's ripe, just a little rugged, and integrated such that the berry flavors are forward and don't need to fight to be appreciated.";"Pasionado";"91";"55";"Mendoza Province";"Uco Valley";"Michael Schachner";"Andeluna 2004 Pasionado Red (Uco Valley)";"Red Blend";"Andeluna"
"119943";"Argentina";"A lively, well-made blend of Tempranillo, Malbec and Syrah; B Crux is a bouncy, fresh youngster but still a serious wine with rock-solid black fruit, deep chocolate and spicy length. It's not super oaky as only half the wine sees new barrels, but you can definitely taste some wood. Will drink best in 2009–2010.";"B Crux";"91";"24";"Mendoza Province";"Uco Valley";"Michаel Schаchner";"O. Fournier 2005 B Crux Red (Uco Valley)";"Red Blend";"O. Fournier"
"119939";"Argentina";"There is a select group of under-$20 Malbecs from Argentina that really do the country and the variety proud. Santos is one of them; the 2006 is easy and ripe on the nose, with lovely cola, berry and herb aromas. The palate has a natural feel and bright black-fruit flavors. Not overly complex but a winner for the next year or two.";"La Madras Vineyard";"91";"18";"Mendoza Province";"Mendoza";"Michаеl Schаchnеr";"Ricardo Santos 2006 La Madras Vineyard Malbec (Mendoza)";"Malbec";"Ricardo Santos"
"119935";"Argentina";"This dark, meaty Malbec has some Agrelo fruit in it but it's mostly from La Consulta and Vista Flores in the Uco Valley. Aged in new oak for 18 months, it smells rich, smooth and inviting, with asphalt, mineral, violet and coffee aromas. The palate has bold acidity and healthy flavors that settle on blackberry and dark chocolate. Drink now through 2011.";"Piedra Negra";"91";"40";"Mendoza Province";"Mendoza";"Michael Schachner";"J. & F. Lurton 2004 Piedra Negra Malbec (Mendoza)";"Malbec";"J. & F. Lurton"
"119909";"Argentina";"This inky Malbec opens with an oaky blend of vanilla, blackberry, prune, cassis and tobacco aromas. A compact, firm palate is just lush enough, while oak-based flavors of cinnamon and baking spices rest on top of spiced plum and cassis. A peppery finish is intermixed with tobacco notes. Drink through 2021.";"Icono";"91";"25";"Mendoza Province";"Luján de Cuyo";"Michael Schachner";"Penedo Borges 2012 Icono Malbec (Luján de Cuyo)";"Malbec";"Penedo Borges"
"119906";"Argentina";"Earthy balsamic aromas of cheesy oak, blackberry and cassis feed into a saturated tannic palate that's a touch scratchy and abrasive. Stewy blackberry and cassis flavors come with a dollop of vanilla and cheese, while this ends with muscular, grabby tannins. Drink this rich, heavy Malbec through 2022.";"One Doña Angeles Vineyard";"91";"88";"Mendoza Province";"Mendoza";"Michаel Schаchner";"Antigal 2010 One Doña Angeles Vineyard Malbec (Mendoza)";"Malbec";"Antigal"
"119905";"Argentina";"Full aromas of toasty oak, blackberry and vanilla feed into a saturated hard-pointed tartaric palate. Flavors of Christmas spice, oak and baked black fruits display hints of nutmeg and cola on a blocky hard finish. Drink through 2020.";"One La Dolores Vineyard";"91";"88";"Mendoza Province";"Mendoza";"Michаеl Schаchnеr";"Antigal 2008 One La Dolores Vineyard Malbec (Mendoza)";"Malbec";"Antigal"
"119818";"Argentina";"Potent and herbal, this has aromas of tomato, olive, mineral and tobacco. It feels tight, drying and lively, with herb-infused flavors of plum and berry along with spicy oak. Rich in feel, but it's distinctly foresty and herbal tasting on the finish. This is 100% Malbec with an undeniable Salta imprint.";"33 de Dávalos";"89";"70";"Other";"Salta";"Michаel Schаchner";"Bodega Tacuil 2010 33 de Dávalos Malbec (Salta)";"Malbec";"Bodega Tacuil"
"119806";"Argentina";"Earthy, oaky aromas of roasted berry, tree bark, root extract and lemongrass are jumbled but not unpleasant. This feels blocky and heavy upfront, then more hollow as it breathes. Flavors of prune and black fruits are stewy, while chocolate, coffee and herbal notes steer a heavy finish.";"Single Vineyard";"87";"25";"Mendoza Province";"Mendoza";"Michael Schachner";"Familia Marguery 2008 Single Vineyard Malbec (Mendoza)";"Malbec";"Familia Marguery"
"119806";"Argentina";"Earthy, oaky aromas of roasted berry, tree bark, root extract and lemongrass are jumbled but not unpleasant. This feels blocky and heavy upfront, then more hollow as it breathes. Flavors of prune and black fruits are stewy, while chocolate, coffee and herbal notes steer a heavy finish.";"Single Vineyard";"87";"25";"Mendoza Province";"Mendoza";"Michael Schachner";"Familia Marguery 2008 Single Vineyard Malbec (Mendoza)";"Malbec";"Familia Marguery"
"119773";"Argentina";"Compost aromas blend with thicker, richer raisiny notes. This feels deep and almost heavy on the palate, where the acidity is modest and stewed, with hints of herbal flavor. Black currant and blackberry come across fully ripe. Notes of coffee, herbs and salt dictate the finishing flavors on this huge Malbec.";"Reserve";"87";"20";"Mendoza Province";"Mendoza";"Michаel Schаchner";"Filus 2010 Reserve Malbec (Mendoza)";"Malbec";"Filus"
"119769";"Argentina";"With its light color, minerally nectarine aromas and Provence leanings, this is a good facsimile of Old World rosé with peach and raspberry flavors, a smooth finish and integrated acidic cut.";"Piedra Negra Alta Colección Rosado";"87";"13";"Mendoza Province";"Mendoza";"Michael Schachner";"François Lurton 2013 Piedra Negra Alta Colección Rosado Rosé (Mendoza)";"Rosé";"François Lurton"
"119745";"Argentina";"This Malbec is exceedingly ripe from start to finish. Aromas of blackberry, raisin, char and loamy earth announce a 16% heavyweight that holds onto its elegance. Flush, plump and elastic on the palate, this tastes of fig, blackberry, cassis and mocha. Chocolate and woodspice flavors drive a lush, dense finish that's a touch hot. Drink through 2020.";"R";"93";"65";"Mendoza Province";"Mendoza";"Michael Schachner";"Bodega Renacer 2012 R Malbec (Mendoza)";"Malbec";"Bodega Renacer"
"119745";"Argentina";"This Malbec is exceedingly ripe from start to finish. Aromas of blackberry, raisin, char and loamy earth announce a 16% heavyweight that holds onto its elegance. Flush, plump and elastic on the palate, this tastes of fig, blackberry, cassis and mocha. Chocolate and woodspice flavors drive a lush, dense finish that's a touch hot. Drink through 2020.";"R";"93";"65";"Mendoza Province";"Mendoza";"Michаel Schаchner";"Bodega Renacer 2012 R Malbec (Mendoza)";"Malbec";"Bodega Renacer"
"119741";"Argentina";"This is a top-dog Malbec from start to finish. Aromas of cassis, black plum and blackberry are well oaked and in harmony with each other. While this is tannic, rubbery and hard in feel, the wine's lusty plum, raisin, chocolate and herbal flavors can handle it. A spicy, toasty, chocolaty finish is fully oaked and strapping. Drink through 2023.";"Pr1mum";"93";"65";"Mendoza Province";"Uco Valley";"Michael Schachner";"Salentein 2013 Pr1mum Malbec (Uco Valley)";"Malbec";"Salentein"
"119723";"Argentina";"Although this opens with woodsy aromas, things settle with airing as berry and black currant notes emerge. This is thick and voluminous, with a cushy body. Flavors of black plum, blackberry and herbs come with high-toned notes of tomato and saline, while the finish feels plump and meaty.";NA;"90";"22";"Mendoza Province";"Luján de Cuyo";"Michael Schachner";"Luigi Bosca 2010 Malbec (Luján de Cuyo)";"Malbec";"Luigi Bosca"
"119721";"Argentina";"This bold, earthy Malbec delivers aromas of cured meat and stewed notes, with some medicinal and floral smells. It's concentrated and chewy but not syrupy, with roasted plum and berry flavors running side by side with savory spice, pepper and brown sugar. A toasty finish has mild heat to it.";"Apreciado";"90";"22";"Other";"Cafayate";"Michаеl Schаchnеr";"Yacochuya 2011 Apreciado Malbec (Cafayate)";"Malbec";"Yacochuya"
"119721";"Argentina";"This bold, earthy Malbec delivers aromas of cured meat and stewed notes, with some medicinal and floral smells. It's concentrated and chewy but not syrupy, with roasted plum and berry flavors running side by side with savory spice, pepper and brown sugar. A toasty finish has mild heat to it.";"Apreciado";"90";"22";"Other";"Cafayate";"Michаеl Schаchnеr";"Yacochuya 2011 Apreciado Malbec (Cafayate)";"Malbec";"Yacochuya"
