"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119670";"Bulgaria";"This Bulgarian Pinot Noir offers the nose black and red cherries and dried violets. It is well balanced in the mouth with soft, rounded tannins and flavors of dark cherry, cranberry and dried Mediterranean herbs.";"Nimbus Premium";"90";"28";"Thracian Valley";NA;"Jеff Jеnssеn";"Castra Rubra 2013 Nimbus Premium Pinot Noir (Thracian Valley)";"Pinot Noir";"Castra Rubra"
"119542";"Bulgaria";"At $8, this is a great find, and has the exotic Bulgarian label to boot. The nose is all lemon zest and spice, and on the palate there is a lively, minerally punch with soft citrus flavors layered over it. A lovely summer sipping wine, best paired with seafood and salads.";NA;"85";"8";"Bulgaria";NA;"Susan Kоstrzewa";"Targovishte 2006 Sauvignon Blanc (Bulgaria)";"Sauvignon Blanc";"Targovishte"
"118285";"Bulgaria";"This Kosher red blend from Bulgaria is comprised of 55% Merlot, 35% Cabernet Sauvignon, 5% Rubin and 5% Mavrud. It has aromas of cranberry, pomegranate and dried Mediterranean herbs. It's flavored with black plum and dark cherry and presents the palate with a well-rounded, soft tannin finish.";"Via Diagonalis";"89";"20";"Thracian Valley";NA;"Jеff Jеnssеn";"Castra Rubra 2010 Via Diagonalis Red (Thracian Valley)";"Red Blend";"Castra Rubra"
"117360";"Bulgaria";"Chamomile and fresh herb notes lend breeziness to this pretty floral white wine. The palate is robust, concentrated with white grapefruit flavor, and tinged with a pleasantly astringent lime-pith finish.";"Via Diagonalis";"88";"17";"Thracian Valley";NA;"Annа Lее C. Iijimа";"Castra Rubra 2011 Via Diagonalis White (Thracian Valley)";"White Blend";"Castra Rubra"
"117360";"Bulgaria";"Chamomile and fresh herb notes lend breeziness to this pretty floral white wine. The palate is robust, concentrated with white grapefruit flavor, and tinged with a pleasantly astringent lime-pith finish.";"Via Diagonalis";"88";"17";"Thracian Valley";NA;"Anna Lee C. Iijima";"Castra Rubra 2011 Via Diagonalis White (Thracian Valley)";"White Blend";"Castra Rubra"
"116360";"Bulgaria";"Brilliant yellow with green highlights, this Bulgarian Sauvignon Blanc has aromas and flavors of tropical fruits like mango, papaya and kumquat. There's gentle acidity in the palate and generous mouthfeel.";NA;"86";"11";"Thracian Valley";NA;"Jеff Jеnssеn";"Bulgariana 2012 Sauvignon Blanc (Thracian Valley)";"Sauvignon Blanc";"Bulgariana"
"115381";"Bulgaria";"This garnet-colored Bulgarian Cabernet Sauvignon has aromas of black cherry and wet river rock. In the mouth, there are flavors of black plum, black cherry and a touch of graphite before the smooth tannic finish.";"Reserve";"90";"11";"Thracian Valley";NA;"Jeff Jenssen";"Domaine Boyar 2013 Reserve Cabernet Sauvignon (Thracian Valley)";"Cabernet Sauvignon";"Domaine Boyar"
"115266";"Bulgaria";"This Syrah from Bulgaria's Thracian Valley is garnet in the glass with aromas of cherry cola and black cherry. It has flavors of black raspberry, red plum and cherry with a grippy tannic finish.";"Le Photographe";"88";"19";"Thracian Valley";NA;"Jеff Jеnssеn";"Minkov Brothers 2014 Le Photographe Syrah (Thracian Valley)";"Syrah";"Minkov Brothers"
"115265";"Bulgaria";"This Bulgarian red blend is composed of 40% Cabernet Sauvignon, 40% Syrah and 20% Merlot. It has aromas of black cherry and eucalyptus and flavors of black pepper and black cherry.";"Tradition Since 1875 Cuvée";"88";"17";"Thracian Valley";NA;"Jеff Jеnssеn";"Minkov Brothers 2013 Tradition Since 1875 Cuvée Red (Thracian Valley)";"Red Blend";"Minkov Brothers"
"113559";"Bulgaria";"Aromas of bright lemon zest, freshly cut grass, passion fruit and grapefruit lead to flavors of kumquat, mango and lemongrass. There's salty minerality and a nice touch of acidity on the finish.";NA;"86";"14";"Danube River Plains";NA;"Jeff Jenssen";"Chateau Burgozone 2012 Sauvignon Blanc (Danube River Plains)";"Sauvignon Blanc";"Chateau Burgozone"
