"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119633";"Canada";"A delicious though somewhat reserved wine with notes of lychee, honey, sugared pineapple and mint. It's rich in feel with abundant marmalade flavors, while staying well balanced and never going too over the top.";"Icewine";"89";"45";"Ontario";"Niagara Peninsula";"Sean P. Sullivan";"Henry of Pelham 2011 Icewine Vidal (Niagara Peninsula)";"Vidal";"Henry of Pelham"
"119596";"Canada";"A youthful and appealing wine with notes of orange peel, citrus and crushed flowers. The palate brings abundant stone fruit flavors that taper off toward the finish.";"Icewine";"88";"50";"Ontario";"Short Hills Bench";"Seаn P. Sullivаn";"Henry of Pelham 2012 Icewine Riesling (Short Hills Bench)";"Riesling";"Henry of Pelham"
"119582";"Canada";"Coming from five different vineyards across the Niagara Peninsula, it's an intriguing wine with notes of wintergreen, lime zest, and herbs. It drinks just off dry with a lemon pith finish.";NA;"88";"13";"Ontario";"Niagara Peninsula";"Sean P. Sullivan";"Cave Spring 2011 Riesling (Niagara Peninsula)";"Riesling";"Cave Spring"
"119288";"Canada";"This young wine is still pulling itself together. A small percentage was barrel-fermented, but what dominates are crisp fruit flavors of lime and apple. There's a whiff of flint and cinnamon also, with caramel creaminess rounding out the finish. All good components that need more time to knit together.";NA;"87";"19";"British Columbia";"Okanagan Valley";"Paul Gregutt";"Tinhorn Creek 2013 Chardonnay (Okanagan Valley)";"Chardonnay";"Tinhorn Creek"
"119287";"Canada";"The winery is perhaps best known for its Merlots, here done in an overtly oaky style. Chewy, woody and quite astringent, the tannins lead, with dried berry and dark chocolate also in the mix. Fine for everyday drinking with your favorite cut of beef.";NA;"87";"20";"British Columbia";"Okanagan Valley";"Paul Gregutt";"Tinhorn Creek 2012 Merlot (Okanagan Valley)";"Merlot";"Tinhorn Creek"
"119287";"Canada";"The winery is perhaps best known for its Merlots, here done in an overtly oaky style. Chewy, woody and quite astringent, the tannins lead, with dried berry and dark chocolate also in the mix. Fine for everyday drinking with your favorite cut of beef.";NA;"87";"20";"British Columbia";"Okanagan Valley";"Paul Gregutt";"Tinhorn Creek 2012 Merlot (Okanagan Valley)";"Merlot";"Tinhorn Creek"
"119230";"Canada";"From a vintage that pushes the fruit out in front, this is loaded with tart, tangy blackberry, boysenberry and huckleberry flavors. At first stiff and compact, it blooms open to reveal streaks of sandalwood, sassafras, iron filings and clean earth. It's a high-wire wine with aging potential at least until 2030.";"Equinoxe";"93";"85";"British Columbia";"Okanagan Valley";"Pаul Grеgutt";"Le Vieux Pin 2012 Equinoxe Syrah (Okanagan Valley)";"Syrah";"Le Vieux Pin"
"119229";"Canada";"A brilliant blend of 61% Viognier, 21% Roussanne and 18% Marsanne, this impresses with its proportion, tension and balance. Scents and flavors meld citrus oil and rind, fruit flavors of pineapple, grapefruit and Meyer lemon, and a lovely finish with highlights of English breakfast tea. Long and elegant, this is a landmark effort.";"Ava";"93";"35";"British Columbia";"Okanagan Valley";"Pаul Gregutt";"Le Vieux Pin 2012 Ava White (Okanagan Valley)";"Rhône-style White Blend";"Le Vieux Pin"
"118273";"Canada";"This blends Dijon clones 76 and 96, and is partially barrel fermented. The spicy nose sharpens the palate with pine needle aromas, and the flavors follow. It's a precise wine, showing pine and mineral more than fruit.";"Reserve";"89";"18";"British Columbia";"Okanagan Valley";"Paul Gregutt";"Township 7 2014 Reserve Chardonnay (Okanagan Valley)";"Chardonnay";"Township 7"
"118264";"Canada";"The nose suggests truffle around compact cherry fruit. The wine is nicely balanced, relatively high in acid, and fashioned for elegance more than power. A finishing whiff of chocolate adds interest.";"Reimer Family Vineyards";"89";"40";"British Columbia";"Okanagan Valley";"Paul Gregutt";"Meyer Family Vineyards 2013 Reimer Family Vineyards Pinot Noir (Okanagan Valley)";"Pinot Noir";"Meyer Family Vineyards"
