"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119860";"Chile";"After several years spent in Chile's land of the lost, Santa Carolina is now refocusing its winemaking efforts with noticeable results. This SB shows mineral, melon and piquant zap. It's got grapefruit, passion fruit and citrus, and the finish is both crisp and generous. A good quaffer that's on the spot. Imported by Carolina Wine Brands USA.";"Reserva";"86";"10";"Rapel Valley";NA;"Michael Schachner";"Santa Carolina 2008 Reserva Sauvignon Blanc (Rapel Valley)";"Sauvignon Blanc";"Santa Carolina"
"119860";"Chile";"After several years spent in Chile's land of the lost, Santa Carolina is now refocusing its winemaking efforts with noticeable results. This SB shows mineral, melon and piquant zap. It's got grapefruit, passion fruit and citrus, and the finish is both crisp and generous. A good quaffer that's on the spot. Imported by Carolina Wine Brands USA.";"Reserva";"86";"10";"Rapel Valley";NA;"Michael Schachner";"Santa Carolina 2008 Reserva Sauvignon Blanc (Rapel Valley)";"Sauvignon Blanc";"Santa Carolina"
"119843";"Chile";"Opens with a light, herbal bouquet that features spice and elegant red fruit aromas. The palate keeps the mode going; it's crisp and fresh, with cherry, raspberry and spice flavors. Finishes firm and dry, with tobacco. A nice blend of Carmenère, Cabernet Sauvignon and Cab Franc.";"Anke Blend 3";"89";"18";"Maipo Valley";NA;"Michaеl Schachnеr";"Santa Alicia 2007 Anke Blend 3 Red (Maipo Valley)";"Red Blend";"Santa Alicia"
"119715";"Chile";"The 2012 vintage was so hot in Chile that harvests came very early. Thus finding mature, complex SBs in this year won't be easy. This perennially excellent wine is as good as you'll find in 2012. Scallion, lime and other green aromas precede a zesty, hard-driving palate. Sea shell, grapefruit, lime and chervil flavors set up a tight, minerally finish.";"Terrunyo Costa Los Boldos Vineyard Block 5";"90";"30";"Casablanca Valley";NA;"Michael Schachner";"Concha y Toro 2012 Terrunyo Costa Los Boldos Vineyard Block 5 Sauvignon Blanc (Casablanca Valley)";"Sauvignon Blanc";"Concha y Toro"
"119569";"Chile";"A ruby color and gamy, roasted aromas of plum and raspberry are the opposite of light and elegant. The palate follows suit, meaning it's full but also acidic. Chunky, slightly burnt berry and currant flavors hollow out on a lightly spiced finish.";"Reserva";"87";"13";"San Antonio";NA;"Michael Schachner";"Apaltagua 2015 Reserva Pinot Noir (San Antonio)";"Pinot Noir";"Apaltagua"
"119569";"Chile";"A ruby color and gamy, roasted aromas of plum and raspberry are the opposite of light and elegant. The palate follows suit, meaning it's full but also acidic. Chunky, slightly burnt berry and currant flavors hollow out on a lightly spiced finish.";"Reserva";"87";"13";"San Antonio";NA;"Michael Schachner";"Apaltagua 2015 Reserva Pinot Noir (San Antonio)";"Pinot Noir";"Apaltagua"
"119560";"Chile";"Grainy, resiny oak aromas share space on the nose with herbal black fruit and green scents. This is racy and fresh for Carmenère, with full-force tannins. Herbal, roasted black-fruit and chocolate flavors are long and oaky on the finish, with a mocha note. Drink through 2020.";"Single Vineyard Los Lingues";"89";"25";"Colchagua Valley";NA;"Michael Schachner";"Siegel 2014 Single Vineyard Los Lingues Carmenère (Colchagua Valley)";"Carmenère";"Siegel"
"119425";"Chile";"Blackberry, blueberry, rubber and violet aromas show a pinch of cool-vintage green. The palate on this Cabernet Sauvignon-Carmenère-Petit Verdot-Syrah blend is tightly wound, with grating tannins. The berry flavors are a touch leafy, while the finish brings red fruit flavors and a touch of carob. Drink through 2018.";"Kayen The Lonely River";"90";"49";"Cachapoal Valley";NA;"Michaеl Schachnеr";"Rios de Chile 2010 Kayen The Lonely River Red (Cachapoal Valley)";"Red Blend";"Rios de Chile"
"119422";"Chile";"Despite cool conditions in 2011, or quite possibly because of them, this is thriving. Aromas of cedar, earth, spice and berry fruits are stylish and comported. The palate on this perennially superb Cabernet is focused, intense and balanced. Flavors of spicy red currant and briary berry are thorough and finish with length on a mocha note. Drink through 2026.";"Casa Real";"93";"85";"Maipo Valley";NA;"Michаеl Schаchnеr";"Santa Rita 2011 Casa Real Cabernet Sauvignon (Maipo Valley)";"Cabernet Sauvignon";"Santa Rita"
"119417";"Chile";"Aromas of spice, vanilla and wood are stronger than this wine's fruit scents. Pure and lush on the palate, this is showing fine balance. Flavors of baking spices, caramel, vanilla and black fruits finish mildly and subtly, with mocha notes and good length. Drink this ripe Cabernet blend through 2019.";"Taita";"93";"300";"Colchagua Valley";NA;"Michаеl Schаchnеr";"Montes 2009 Taita Red (Colchagua Valley)";"Red Blend";"Montes"
