"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"114791";"Croatia";"This Croatian white is made from 100% Debit and has aromas of dried apricot, toasted brioche, peach and just a touch of cinnamon in the bouquet. The palate is generous, with delightful flavors of white and yellow peaches and fresh apricot nectar. It's aged for 24 months in French oak; 150 cases produced.";"Lucica";"89";"35";"North Dalmatia";NA;"Jeff Jenssen";"Bibich 2010 Lucica Debit (North Dalmatia)";"Debit";"Bibich"
"113861";"Croatia";"While bold and rich with a concentrated black fruit character, Korta Katarina's Plavac Mali is also wonderfully expressive with glimmers of rose petal, espresso and chocolate under a spray of raspberry perfume. Big, ripe tannins subside with aeration to a smooth, finely grained texture, finishing on a delicious black cherry and vanilla note.";NA;"90";"38";"Peljesac";NA;"Annа Lее C. Iijimа";"Korta Katarina 2006 Plavac Mali (Peljesac)";"Plavac Mali";"Korta Katarina"
"113541";"Croatia";"Bright cherry, red plum and vanilla notes are well pronounced in the nose and on the palate. There's a touch of cherry-vanilla soda as well. The finish pops with a bright persistence of fruit.";NA;"87";"20";"North Dalmatia";NA;"Jeff Jenssen";"Zlatan Otok 2010 Plavac Mali (North Dalmatia)";"Plavac Mali";"Zlatan Otok"
"111529";"Croatia";"This sweet red wine shows aromas of toasted hazelnut and ripe plum on the nose. The nutty character continues to the palate, with additional tones of chamomile tea and aromatic herb.";"Ambra";"91";"50";"North Dalmatia";NA;"Jеff Jеnssеn";"Bibich NV Ambra Red (North Dalmatia)";"Red Blend";"Bibich"
"110847";"Croatia";"This Croatian white has delightful aromas of pineapple, tropical fruits and fresh cut honeycomb. It's round and generous in the mouth, with flavors of guava and lime rind that lead in to the clean, astringent finish.";"P9";"88";"27";"North Dalmatia";NA;"Jeff Jenssen";"Bibich 2012 P9 Posip (North Dalmatia)";"Posip";"Bibich"
"110532";"Croatia";"Soft and sweet on the nose with scents of cherry pie, vanilla and spice, this unusually light-bodied Plavac Mali is fresh and vibrant with a bright red fruit core and zippy acidity. There's a tinge of green on the midpalate, but soft, furry tannins and the sour cherry finish are pleasant.";NA;"86";"12";"Peljesac";NA;"Anna Lee C. Iijima";"Dingač Winery 2009 Plavac Mali (Peljesac)";"Plavac Mali";"Dingač Winery"
"108709";"Croatia";"Both the nose and palate of this medium-bodied Plavac Mali are soft and pulpy with overripe red fruit accented by the scent of golden hay. Bright acidity in the midpalate adds freshness, and moderate tannins are mouthcoating with a soft, powdery grain.";"De Mar Plavac";"84";"13";"Peljesac";NA;"Anna Lee C. Iijima";"Istravino 2008 De Mar Plavac Plavac Mali (Peljesac)";"Plavac Mali";"Istravino"
"106201";"Croatia";"Notes of sweet blueberry and blackberry jam entice on the nose and palate of this light to medium-bodied blend of Cab and Blaufränkisch. Soft on the palate with a core of sweet black fruit, it's balanced by smooth tannins, bright acidity and just a hint of bramble and wood. Surprisingly long on the finish.";"Cabernet Sauvignon Blaufränkisch";"85";"13";"Podunavlje";NA;"Anna Lee C. Iijima";"Iločki Podrumi 2007 Cabernet Sauvignon Blaufränkisch Red (Podunavlje)";"Red Blend";"Iločki Podrumi"
"106201";"Croatia";"Notes of sweet blueberry and blackberry jam entice on the nose and palate of this light to medium-bodied blend of Cab and Blaufränkisch. Soft on the palate with a core of sweet black fruit, it's balanced by smooth tannins, bright acidity and just a hint of bramble and wood. Surprisingly long on the finish.";"Cabernet Sauvignon Blaufränkisch";"85";"13";"Podunavlje";NA;"Anna Lee C. Iijima";"Iločki Podrumi 2007 Cabernet Sauvignon Blaufränkisch Red (Podunavlje)";"Red Blend";"Iločki Podrumi"
"106198";"Croatia";"Savory in style with notes of smoke and black tea leaves on the nose, this full-bodied dry Welschriesling is vibrant on the palate with fresh apples and herbs. Strikingly high in acidity but finishes on a pleasantly tart apple skin note.";"Graševina";"85";"15";"Podunavlje";NA;"Annа Lee C. Iijimа";"Podrumi Belje 2009 Graševina Welschriesling (Podunavlje)";"Welschriesling";"Podrumi Belje"
