"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"117261";"Georgia";"Aromatic, with notes of black tea leaves, sandalwood and incense, this smoky Georgian amber wine boasts delicate orange rind and blossom flavors, swathed in bristling, chestnut-skin-like tannins. There's a wonderful textural richness attributable to the wine's prolonged maceration in traditional Georgian qvevri.";"Dry Unfiltered Amber Wine";"90";"18";"Kakheti";NA;"Anna Lee C. Iijima";"Pheasant's Tears 2009 Dry Unfiltered Amber Wine Rkatsiteli (Kakheti)";"Rkatsiteli";"Pheasant's Tears"
"117261";"Georgia";"Aromatic, with notes of black tea leaves, sandalwood and incense, this smoky Georgian amber wine boasts delicate orange rind and blossom flavors, swathed in bristling, chestnut-skin-like tannins. There's a wonderful textural richness attributable to the wine's prolonged maceration in traditional Georgian qvevri.";"Dry Unfiltered Amber Wine";"90";"18";"Kakheti";NA;"Annа Lее C. Iijimа";"Pheasant's Tears 2009 Dry Unfiltered Amber Wine Rkatsiteli (Kakheti)";"Rkatsiteli";"Pheasant's Tears"
"115571";"Georgia";"This inky red-violet wine has a nose of blueberry pie, green pepper and violet. It is slightly tart at first sip, with tannins that hide at first and then coat the tongue and gums. A rich flavor profile of blackberry, cranberry, anise, violet and white chocolate makes way for cherry and chocolate notes in the finish.";"Mukuzani";"90";"16";"Kakheti";NA;"Mike DeSimone";"Teliani Valley 2013 Mukuzani Saperavi (Kakheti)";"Saperavi";"Teliani Valley"
"115568";"Georgia";"Dark-garnet in color, this wine proffers aromas of dark plums, flint and lavender. With a pleasing interplay of fruit and tannins, the palate is rich with flavors of cassis, blackberry preserves, vanilla, mocha and violet. A nice touch of lingonberry on the finish washes away the firm hold of grippy tannins.";NA;"90";"34";"Kakheti";NA;"Mike DeSimone";"Shalauri Cellars 2013 Saperavi (Kakheti)";"Saperavi";"Shalauri Cellars"
"115086";"Georgia";"Aromas of black cherry, violet and anise prepare the palate for luscious flavors of cherry pie, blueberry, violet and fennel in this deeply colored semi-sweet wine. Notes of chocolate mingle with silky tannins. A sweet touch of cherry with bright orange zest makes its presence known on the finish.";"Kindzmarauli Original";"90";"17";"Kakheti";NA;"Mike DeSimone";"Kindzmarauli Marani 2014 Kindzmarauli Original Saperavi (Kakheti)";"Saperavi";"Kindzmarauli Marani"
"113633";"Georgia";"This wine has a bouquet of black cherry, oregano and lavender. Flavors of cherry, cranberry, thyme, mocha and leather are supported by strong but smooth tannins, and the finish is equal parts savory and tart.";NA;"88";"24";"Kakheti";NA;"Mike DeSimone";"Vinoterra 2014 Saperavi (Kakheti)";"Saperavi";"Vinoterra"
"112698";"Georgia";"Appearing deeply ruby-red to the eye, this semi-sweet wine offers aromas of black cherry, freshly ground black pepper and vanilla bean. There is an interesting touch of coolness amid fruit flavors, especially blueberry and blackberry with notes of custard, caramel and Mediterranean herbs. Smooth tannins and a hint of mint make for a pleasing finish.";"Kindzmarauli";"90";"17";"Kakheti";NA;"Mike DeSimone";"Teliani Valley 2013 Kindzmarauli Saperavi (Kakheti)";"Saperavi";"Teliani Valley"
"111267";"Georgia";"This amber-colored wine has a perfumed nose of apricot marmalade and marzipan. It is bright on entry, followed by a sophisticated sense of chalkiness with intense flavors of peach, nectarine, brioche, guava and honeysuckle. Flashes of brightness on the finish dissipate the firm tannins on the palate.";"Kakhetian Royal";"90";"17";"Kakheti";NA;"Mikе DеSimоnе";"Kindzmarauli Marani 2013 Kakhetian Royal White (Kakheti)";"White Blend";"Kindzmarauli Marani"
"106655";"Georgia";"Aromas of black cherry, anise and violet lay the groundwork for flavors of dark berries, smoke and leather with touches of violet. Tannins are firm, but vigorous berry flavors maintain dominance into a soft smoky finish.";"Kondoli Single Vineyard";"90";"18";"Kakheti";NA;"Mikе DеSimоnе";"Marani 2013 Kondoli Single Vineyard Saperavi-Merlot (Kakheti)";"Saperavi-Merlot";"Marani"
"106654";"Georgia";"Deep red-violet in color, this wine has a bouquet of raspberry, strawberry and lavender. It is complex but eminently pleasing on the palate, with chewy tannins and flavors of blackberry, leather, smoke, chocolate and coffee and a soft touch of iodine on the tenacious finish.";"Kondoli Single Vineyard";"90";"18";"Kakheti";NA;"Mike DeSimone";"Marani 2013 Kondoli Single Vineyard Saperavi (Kakheti)";"Saperavi";"Marani"
"105688";"Georgia";"Amber in color, this wine has a soft nectarine aroma and a hoppy, herbal taste, with a touch of sourness. It's chalky on entry, and its tannins don't let up, even into the gum-numbing finish.";"Vineyard Akhoebi";"82";"30";"Kakheti";NA;"Mikе DеSimоnе";"Our Wine 2015 Vineyard Akhoebi Rkatsiteli (Kakheti)";"Rkatsiteli";"Our Wine"
"105676";"Georgia";"True to its name, this wine is golden amber in color. Its apricot and almond blossom aromas lead to quince, underripe apple and bitter almond flavors. Grippy tannins come on strong from first sip and persist into the chalky finish.";"Amber Dry Dakishvili Family Vineyards";"83";"25";"Kakheti";NA;"Mike DeSimone";"Vita Vinea 2015 Amber Dry Dakishvili Family Vineyards Kisi (Kakheti)";"Kisi";"Vita Vinea"
"103662";"Georgia";"Golden honey in color, this wine proffers a one-note nose of guava. Flavors of guava, apricot and flint culminate in a lightly floral finish.";NA;"84";"14";"Kakheti";NA;"Mike DeSimone";"Dilao 2015 White (Kakheti)";"White Blend";"Dilao"
"103654";"Georgia";"Honey gold in color, this wine made from an indigenous Georgian grape has a bouquet of white cherries and lavender. Tart flavors of honeydew melon and white plum persist into the soft floral finish.";"Dry Unfiltered";"84";"28";"Georgia";NA;"Mikе DеSimоnе";"Gotsa Family Wines 2015 Dry Unfiltered Chinuri (Georgia)";"Chinuri";"Gotsa Family Wines"
"101351";"Georgia";"Pleasantly yeasty and nutty on the nose, this is a slightly drier offering within their charmat method line. Frothy with a fresh apple palate, it's the perfect value sparkler meant for everyday entertaining.";"Classic Brut";"84";"10";"Georgia";NA;"Anna Lee C. Iijima";"Bagrationi 1882 2007 Classic Brut Sparkling (Georgia)";"Sparkling Blend";"Bagrationi 1882"
