"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119984";"Germany";"Notes of honeysuckle and cantaloupe sweeten this deliciously feather-light spätlese. It's intensely juicy, quenching the palate with streams of tart tangerine and grapefruit acidity, yet wraps up with a kiss of honey and peach.";"Brauneberger Juffer-Sonnenuhr Spätlese";"90";"28";"Mosel";NA;"Annа Lее C. Iijimа";"Dr. H. Thanisch (Erben Müller-Burggraef) 2013 Brauneberger Juffer-Sonnenuhr Spätlese Riesling (Mosel)";"Riesling";"Dr. H. Thanisch (Erben Müller-Burggraef)"
"119964";"Germany";"Plump, clingy peach and honey notes are cut with streaks of lime in this delicate yet intensely satisfying wine. Off dry in style, it's refreshingly juicy, with a rich, supple mouthfeel offset by bristling acidity.";"Dom";"90";"17";"Mosel";NA;"Annа Lее C. Iijimа";"Bischöfliche Weingüter Trier 2013 Dom Riesling (Mosel)";"Riesling";"Bischöfliche Weingüter Trier"
"119942";"Germany";"Imagine honeyed orange sections—that's what the aromas of this wine call to mind. In the mouth, there's plenty of sweetness and power and a rich, creamy mouthfeel, matched by strident acids. Orange, apple and spice flavors linger on the finish.";"Bernkasteler alte Badstube am Doctorberg Spätlese";"91";"31";"Mosel-Saar-Ruwer";NA;"Joe Czerwinski";"Dr. Pauly Bergweiler 2006 Bernkasteler alte Badstube am Doctorberg Spätlese Riesling (Mosel-Saar-Ruwer)";"Riesling";"Dr. Pauly Bergweiler"
"119941";"Germany";"Thick, oily and sweet, this wine is clearly not a typical spätlese. Dried apricots, baked apple and dried spices coat the palate, finishing long and sweet but with just enough lime-like acidity for balance. Drink now–2020. Imported by Chapin Cellars, LLC.";"Erdener Treppchen Spätlese*";"91";"24";"Mosel-Saar-Ruwer";NA;"Jоe Czerwinski";"Stephan Ehlen 2006 Erdener Treppchen Spätlese* Riesling (Mosel-Saar-Ruwer)";"Riesling";"Stephan Ehlen"
"119936";"Germany";"Despite plenty of honeyed sweetness, this wine's slate-driven minerality and zesty acids and slight touch of CO2 keep it nicely balanced. It's light in body, with crisp lime flavors, making it a great candidate for sipping during the dog days of summer.";"Wehlener Sonnenuhr Spätlese";"91";"32";"Mosel-Saar-Ruwer";NA;"Joe Czerwinski";"Dr. Loosen 2006 Wehlener Sonnenuhr Spätlese Riesling (Mosel-Saar-Ruwer)";"Riesling";"Dr. Loosen"
"119930";"Germany";"Dusty pollen and mineral notes lend spicy, savory complexity to zesty lemon-lime flavors in this Kabinett. Just a shade off-dry in style, it's vivacious and zippy, finishing on a lingering salty mineral tang.";"Ürziger Würzgarten Kabinett";"91";"28";"Mosel";NA;"Anna Lee C. Iijima";"Dr. Loosen 2015 Ürziger Würzgarten Kabinett Riesling (Mosel)";"Riesling";"Dr. Loosen"
"119929";"Germany";"Sun-kissed nectarine, tangerine and grapefruit flavors abound in this exceptionally light-footed Riesling. Off-dry in style, it's juicy and forward yet spine-tingling and racy. The finish is pristine, dry and intensely mineral.";"Bernkasteler Lay Kabinett";"91";"28";"Mosel";NA;"Annа Lее C. Iijimа";"Dr. Loosen 2015 Bernkasteler Lay Kabinett Riesling (Mosel)";"Riesling";"Dr. Loosen"
"119780";"Germany";"Dusty mineral complexities juxtapose luscious melon, peach and Mandarin orange flavors in this dry-style blend of Gewürztraminer and Riesling. Perfumed on the nose and silky on the palate, it's a widely appealing wine with a brisk, composed finish. Drink now through 2020.";"Biodynamite";"90";"27";"Pfalz";NA;"Anna Lee C. Iijima";"Pflüger 2015 Biodynamite White (Pfalz)";"White Blend";"Pflüger"
"119780";"Germany";"Dusty mineral complexities juxtapose luscious melon, peach and Mandarin orange flavors in this dry-style blend of Gewürztraminer and Riesling. Perfumed on the nose and silky on the palate, it's a widely appealing wine with a brisk, composed finish. Drink now through 2020.";"Biodynamite";"90";"27";"Pfalz";NA;"Anna Lee C. Iijima";"Pflüger 2015 Biodynamite White (Pfalz)";"White Blend";"Pflüger"
"119744";"Germany";"Electric acidity penetrates through this sumptuously fruity wine full of rich white-peach and grapefruit flavors. Vibrantly fresh and floral, it's sharpened by a razor's edge of minerality that lingers through the finish. It's gorgeous now for its ebullience and youth but should improve well into the 2020's.";"Schloss Reichartshausen Spätlese";"93";"35";"Rheingau";NA;"Anna Lee C. Iijima";"Balthasar Ress 2015 Schloss Reichartshausen Spätlese Riesling (Rheingau)";"Riesling";"Balthasar Ress"
"119740";"Germany";"More delicate in character than the Kiedrich Turmberg, this gossamer-light auslese balances slick honey, peach and yellow-cherry flavors against a backdrop of crystalline minerality. Nerve-racing acidity extends a long luscious finish.";"Kiedrich Gräfenberg Auslese";"93";"94";"Rheingau";NA;"Anna Lее C. Iijima";"Robert Weil 2014 Kiedrich Gräfenberg Auslese Riesling (Rheingau)";"Riesling";"Robert Weil"
"119613";"Germany";"Barely there whiffs of honey, cantaloupe and tangerine intensify on the palate of this bright, fruity wine. It's lip-smackingly plump in yellow plum and cherry flavors, but tows a precise line of acidity that's refreshing. Drink now through 2020.";NA;"88";"11";"Mosel";NA;"Anna Lee C. Iijima";"Dr. Heidemanns-Bergweiler 2015 Riesling (Mosel)";"Riesling";"Dr. Heidemanns-Bergweiler"
"119450";"Germany";"Rose petals and violet perfume this fragrant, voluptuously textured Spätburgunder. It's ripe and approachable but structured by fine, firm tannins and sprightly acidity. Luscious streaks of blackberry and cherry nectar linger on the finish.";"Rüdesheim Berg Roseneck Spätburgunder Trocken";"90";"18";"Rheingau";NA;"Annа Lee C. Iijimа";"Carl Ehrhard 2013 Rüdesheim Berg Roseneck Spätburgunder Trocken Pinot Noir (Rheingau)";"Pinot Noir";"Carl Ehrhard"
"119318";"Germany";"Not quite as extremely sweet as some of the giant BAs from 2006, this wine actually shows a modicum of minerality and spice to go along with hints of dried apricot and honey. It doesn't finish as long or powerful as some, but instead shows a certain elegance and balance.";"Piesporter Goldtröpfchen Beerenauslese";"92";"47";"Mosel-Saar-Ruwer";NA;"Joе Czеrwinski";"Bollig-Lehnert 2006 Piesporter Goldtröpfchen Beerenauslese Riesling (Mosel-Saar-Ruwer)";"Riesling";"Bollig-Lehnert"
"119318";"Germany";"Not quite as extremely sweet as some of the giant BAs from 2006, this wine actually shows a modicum of minerality and spice to go along with hints of dried apricot and honey. It doesn't finish as long or powerful as some, but instead shows a certain elegance and balance.";"Piesporter Goldtröpfchen Beerenauslese";"92";"47";"Mosel-Saar-Ruwer";NA;"Jое Czеrwinski";"Bollig-Lehnert 2006 Piesporter Goldtröpfchen Beerenauslese Riesling (Mosel-Saar-Ruwer)";"Riesling";"Bollig-Lehnert"
"119303";"Germany";"This wine boasts a great combination of sweetness and richness with elegance and finesse. Aromas are honeyed and floral yet minerally, while the flavors run toward pears and peaches steeped in honey. The finish is undeniably rich, but supercharged by a lively skein of citrusy acids.";"Wehener Sonnenuhr Auslese Goldkap";"93";"42";"Mosel-Saar-Ruwer";NA;"Joе Czеrwinski";"Dr. Loosen 2006 Wehener Sonnenuhr Auslese Goldkap Riesling (Mosel-Saar-Ruwer)";"Riesling";"Dr. Loosen"
"118753";"Germany";"The von Kesselstatt estate released four GG bottlings in 2009, and this wine was perhaps the least of them. It's very good nonetheless, with fresh, slightly floral aromas and bold flavors of baked apple and orange zest. There's a chunkiness in the mouth and a slight coarseness of texture compared to the others, but that's splitting hairs.";"Kaseler Nies'chen Trocken GG";"88";"49";"Mosel";NA;"Jое Czеrwinski";"Reichsgraf von Kesselstatt 2009 Kaseler Nies'chen Trocken GG Riesling (Mosel)";"Riesling";"Reichsgraf von Kesselstatt"
"118668";"Germany";"Sunny tangerine acidity showers over plump honeydew and yellow plums in this lip-smacking, opulent spätlese. Refreshing grapefruit and green floral notes kiss the long, lingering finish. It's youthful exuberance shines, but it's likely to mature elegantly till at least 2025.";"Felseneck Spätlese";"93";"54";"Nahe";NA;"Anna Lee C. Iijima";"Prinz Salm 2013 Felseneck Spätlese Riesling (Nahe)";"Riesling";"Prinz Salm"
