"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119247";"Hungary";"This off-dry, honeyed Tokaj wine has a penetrating minerality that extends from start to finish, with aromas of honeysuckle and fresh tangerine skin. Slightly dusty on the palate, it shows hints of dried herb and crushed stone, and it finishes on a delicate flower tone.";"3 Puttonyos Aszú";"87";"20";"Tokaji";NA;"Annа Lее C. Iijimа";"Château Hellha 2002 3 Puttonyos Aszú  (Tokaji)";"Tokaji";"Château Hellha"
"118283";"Hungary";"This cherry-red wine is made from 100% Kadarka and has aromas of cherry, dried cherry, black pepper and cherry cola. It greets the palate with tastes of dark chocolate and tart dried cherry while finishingly lively.";NA;"89";"28";"Villány";NA;"Jeff Jenssen";"Bock 2013 Kadarka (Villány)";"Kadarka";"Bock"
"117753";"Hungary";"Aromas of butterscotch, honeyed apricot, beeswax and honeysuckle transfer seamlessly onto the palate and are joined by flavors of sweet golden raisins and vanilla caramel. There's nice balance between sweetness and acidity, and a delightful touch of creaminess graces the finish.";"Szt. Tamás Aszú 6 Puttonyos";"92";"118";"Tokaji";NA;"Jеff Jеnssеn";"Royal Tokaji 2007 Szt. Tamás Aszú 6 Puttonyos  (Tokaji)";"Tokaji";"Royal Tokaji"
"117753";"Hungary";"Aromas of butterscotch, honeyed apricot, beeswax and honeysuckle transfer seamlessly onto the palate and are joined by flavors of sweet golden raisins and vanilla caramel. There's nice balance between sweetness and acidity, and a delightful touch of creaminess graces the finish.";"Szt. Tamás Aszú 6 Puttonyos";"92";"118";"Tokaji";NA;"Jeff Jenssen";"Royal Tokaji 2007 Szt. Tamás Aszú 6 Puttonyos  (Tokaji)";"Tokaji";"Royal Tokaji"
"116712";"Hungary";"There's plenty of ripe, fleshy red fruit on the nose and palate of this red, accented by hints of black pepper and fresh green herb. Soft and easy drinking, it has gentle acidity and tannins.";"Portugieser";"86";"15";"Villány";NA;"Anna Lee C. Iijima";"Gere Attila 2011 Portugieser Blauer Portugieser (Villány)";"Blauer Portugieser";"Gere Attila"
"116398";"Hungary";"Apple blossoms and sweetpea notes accent fleshy sweet melon and roasted hazelnut flavors on this unctuous, full-bodied Hungarian dry white. Brisk lemony acidity and a bitter lemon pith note add balance and verve on the finish.";"Cuvée 113";"88";"25";"Tokaj";NA;"Anna Lee C. Iijima";"Sauska 2009 Cuvée 113 White (Tokaj)";"White Blend";"Sauska"
"116383";"Hungary";"Medium gold in the glass, this wine has a nose of Valencia orange, pear and kumquat. Flavors of lychee, kumquat and apricot mingle on the palate, remaining strong into the mineral-rich finish.";"Szent Tamás Betsek Vineyards";"91";"25";"Tokaji";NA;"Jeff Jenssen";"Dobogó 2012 Szent Tamás Betsek Vineyards  (Tokaji)";"Furmint";"Dobogó"
"115764";"Hungary";"This Cab blend proves that Hungarian reds are becoming more of a contender on a global level. An enticing wave of pepper and wooded spice on the nose rolls into flavors of juicy red fruit, pepper, raspberry and wood on the tongue. The structure is solid but elegant, so though the wine can age, it's good to drink now. Balanced and stylish overall.";"Capella Cuvée";"89";"78";"Villány";NA;"Susаn Kоstrzеwа";"Bock 2003 Capella Cuvée Red (Villány)";"Cabernet Blend";"Bock"
"115697";"Hungary";"This Hungarian red blend is garnet in color, with aromas of red cherry and black berry and flavors of red cherry and pomegranate. The tannins are soft with a medium-length finish.";"Monopole Rhapsody";"88";"19";"Eger";NA;"Jеff Jеnssеn";"Kovács Nimród 2012 Monopole Rhapsody Red (Eger)";"Red Blend";"Kovács Nimród"
"115376";"Hungary";"Aromas of jasmine and honeysuckle entice your nose and flavors of lemon lime and apple cider excite your palate. This dry Hungarian Furmint has both a strong minerality and a crisp finish.";"Öreg Kiraly Dulo Mad";"90";"38";"Tokaj";NA;"Jеff Jеnssеn";"Barta 2012 Öreg Kiraly Dulo Mad Furmint (Tokaj)";"Furmint";"Barta"
"113510";"Hungary";"This Furmint from Tokaj has enticing aromas of lemon, grapefruit peel and vanilla bean. There are lively flavors of lemon curd, dried sage and caramelized apricot in the palate with balanced minerality in the finish.";"Zomborka";"91";"24";"Tokaj";NA;"Jеff Jеnssеn";"Gróf Degenfeld 2014 Zomborka Furmint (Tokaj)";"Furmint";"Gróf Degenfeld"
"113425";"Hungary";"This cherry-colored wine offers the nose baking spice, tart cherry and black peppercorns. It has a medium body with nice minerality and flavors of blueberry jam, tart cherries and dried violets.";NA;"88";"23";"Villány";NA;"Jeff Jenssen";"Bock 2013 Kékfrankos (Villány)";"Kekfrankos";"Bock"
"112133";"Hungary";"Hints of sweet pastry and rising bread entice on this refreshing, dry, yet honeyed sparkling wine made from Tokaj grape varieties. It's brisk on the palate, with a clean cut, but it has all of the waxy, floral qualities of a sweet Tokaj wine. Fantastic now, but it could be even more glorious with five more years in the cellar.";"Pezsgo Henye Brut";"91";"30";"Tokaj";NA;"Anna Lee C. Iijima";"Királyudvar 2009 Pezsgo Henye Brut Tokaji (Tokaj)";"Tokaji";"Királyudvar"
"111268";"Hungary";"This dry Furmint has aromas of caramelized pineapple, citrus blossom and peach with flavors of apricot, grapefruit and lemon lime. There is pleasant brightness in the crisp finish.";"Estate Tokaji";"90";"22";"Tokaj";NA;"Jeff Jenssen";"Kvaszinger 2013 Estate Tokaji Furmint (Tokaj)";"Furmint";"Kvaszinger"
"111263";"Hungary";"A blend of 65% Furmint and 35% Hárslevelu, this Hungarian white has aromas of apricot, peach and pear. In the mouth, there are flavors of canned peaches, fresh white peach and pear with a crisp finish.";"Hold and Hollo";"90";"20";"Tokaj";NA;"Jeff Jenssen";"Holdvölgy 2012 Hold and Hollo White (Tokaj)";"White Blend";"Holdvölgy"
"111257";"Hungary";"Nuances of white flowers lead you in to aromas of pear and pineapple and flavors of grapefruit, green apple and pear. The finish is mineral driven and delightful.";NA;"90";"19";"Tokaj";NA;"Jeff Jenssen";"Béres 2014 Furmint (Tokaj)";"Furmint";"Béres"
"108728";"Hungary";"This late harvest wine from Hungary is comprised of Furmint, Hárslevelu and Muscat. It has aromas of acacia flower and pear, with flavors of apricot, pear juice and dried rosemary. The finish is pleasantly sweet without being too cloying.";"Late Harvest";"94";"21";"Tokaji";NA;"Jeff Jenssen";"Royal Tokaji 2016 Late Harvest  (Tokaji)";"White Blend";"Royal Tokaji"
"108728";"Hungary";"This late harvest wine from Hungary is comprised of Furmint, Hárslevelu and Muscat. It has aromas of acacia flower and pear, with flavors of apricot, pear juice and dried rosemary. The finish is pleasantly sweet without being too cloying.";"Late Harvest";"94";"21";"Tokaji";NA;"Jеff Jеnssеn";"Royal Tokaji 2016 Late Harvest  (Tokaji)";"White Blend";"Royal Tokaji"
