"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"109756";"Macedonia";"This Merlot-Cabernet-Vranec blend offers an appealing, easydrinking array of warming spice, dark berries and spice on the nose and palate. Full in the mouth with a fruity character backed by acid and spice, it will pair well with veal or pork.";"Alexandar";"86";"16";"Tikves";NA;"Susan Kostrzewa";"Bovin 2006 Alexandar Red (Tikves)";"Red Blend";"Bovin"
"109756";"Macedonia";"This Merlot-Cabernet-Vranec blend offers an appealing, easydrinking array of warming spice, dark berries and spice on the nose and palate. Full in the mouth with a fruity character backed by acid and spice, it will pair well with veal or pork.";"Alexandar";"86";"16";"Tikves";NA;"Susan Kostrzewa";"Bovin 2006 Alexandar Red (Tikves)";"Red Blend";"Bovin"
"103482";"Macedonia";"Lavender and ripe black-cherry aromas are enticing on this Pinot Noir. Dry and full bodied, it doesn't have a lot of concentration, but it's softly fruity, with hints of soil and autumn leaf.";NA;"84";"15";"Tikves";NA;"Anna Lee C. Iijima";"Macedon 2010 Pinot Noir (Tikves)";"Pinot Noir";"Macedon"
"72145";"Macedonia";"Jammy aromas and flavors of blackberry, plum, anise and spice give this smooth Macedonian red a lush, flavorful edge. Integrated and sturdy enough to pair with robust aged cheeses, meats, rich dishes.";NA;"84";"16";"Tikves";NA;"Susan Kоstrzеwa";"Bovin 2007 Vranec (Tikves)";"Vranec";"Bovin"
"72138";"Macedonia";"This white blend offers a full nose of vanilla and spice, followed by full-bodied flavors that are both fruity and spicy. Pair with salads, cheeses or sip alone on a hot day.";"Symphony";"85";"15";"Tikves";NA;"Susan Kostrzewa";"Bovin 2007 Symphony White (Tikves)";"White Blend";"Bovin"
"70323";"Macedonia";"This garnet-colored Pinot Noir is named after Alexander the Great—The Macedon. It has aromas of cherry and vanilla and bright top notes of fresh red raspberry. Medium bodied, it delivers fresh flavors of cranberry and cherry in the finish.";"Macedon";"87";"15";"Tikves";NA;"Jeff Jenssen";"Stobi 2011 Macedon Pinot Noir (Tikves)";"Pinot Noir";"Stobi"
"56480";"Macedonia";"This Chardonnay has an appealing nose that's both fruity and toasty, with complex, lush flavors of Chardonnay fruit, vanilla and toasted wood. A spirited but elegant wine that will pair well with poultry, cheeses or richer fish.";NA;"87";"15";"Tikves";NA;"Susan Kostrzewa";"Bovin 2008 Chardonnay (Tikves)";"Chardonnay";"Bovin"
"49956";"Macedonia";"This Macedonian wine made from 100% Žilavka has aromas of honeysuckle and peach. Balanced in the mouth, it has flavors of green papaya and tart pineapple.";NA;"88";"15";"Tikves";NA;"Jeff Jenssen";"Stobi 2014 Žilavka (Tikves)";"Žilavka";"Stobi"
"38080";"Macedonia";"Lemon zest and peppermint are the scents associated with this 100% Rkatsiteli. It's bright on entry, tasting of lemon peel and grapefruit pith.";NA;"88";"15";"Tikves";NA;"Jeff Jenssen";"Stobi 2014 Rkatsiteli (Tikves)";"Rkatsiteli";"Stobi"
"38080";"Macedonia";"Lemon zest and peppermint are the scents associated with this 100% Rkatsiteli. It's bright on entry, tasting of lemon peel and grapefruit pith.";NA;"88";"15";"Tikves";NA;"Jеff Jеnssеn";"Stobi 2014 Rkatsiteli (Tikves)";"Rkatsiteli";"Stobi"
"37639";"Macedonia";"Made from 100% Vranec, this wine has aromas of sour cherry, black plum and black pepper. It is full bodied with flavors of tart cherry, blackberry, and leather.";NA;"89";"15";"Tikves";NA;"Jeff Jenssen";"Stobi 2013 Vranec (Tikves)";"Vranec";"Stobi"
"37638";"Macedonia";"This 100% Vranec presents the nose with black plum, blackberry, tobacco leaf and saddle leather and the palate with blueberry, dried herbs, tobacco and red plums. The finish is soft and elegant.";"Veritas";"89";"20";"Tikves";NA;"Jеff Jеnssеn";"Stobi 2011 Veritas Vranec (Tikves)";"Vranec";"Stobi"
"25154";"Macedonia";"Snappy lemon, grapefruit and apples aromas lead this fresh white from Bovin. On the palate, grassy flavors with fresh white fruits are backed by a lively minerality. Clean and flavorful—a perky go-to white with food pairing potential.";NA;"88";"15";"Tikves";NA;"Susan Kostrzewa";"Bovin 2007 Sauvignon (Tikves)";"Sauvignon";"Bovin"
