"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"116473";"Mexico";"Slightly sweet on the nose, but wheaty and grassy too. It tastes like clay and bubble gum, with a touch of peach and citrus. It's acidic on the finish.";"Dominó";"80";"15";"San Antonio de las Minas Valley";NA;"Michаel Schаchner";"Vinisterra 2011 Dominó Cinsault (San Antonio de las Minas Valley)";"Cinsault";"Vinisterra"
"115138";"Mexico";"This rusty looking, aged Cabernet Sauvignon displays mature, cooked aromas of prune, raisin and not much else. The mouthfeel is dry and astringent, while flavors of burnt brown sugar, stewed berry and turned earth finish quick, without any backup.";"Private Reserve Barrel Aged";"84";"20";"Valle de Guadalupe";NA;"Michael Schachner";"L.A. Cetto 2005 Private Reserve Barrel Aged Cabernet Sauvignon (Valle de Guadalupe)";"Cabernet Sauvignon";"L.A. Cetto"
"115138";"Mexico";"This rusty looking, aged Cabernet Sauvignon displays mature, cooked aromas of prune, raisin and not much else. The mouthfeel is dry and astringent, while flavors of burnt brown sugar, stewed berry and turned earth finish quick, without any backup.";"Private Reserve Barrel Aged";"84";"20";"Valle de Guadalupe";NA;"Michaеl Schachnеr";"L.A. Cetto 2005 Private Reserve Barrel Aged Cabernet Sauvignon (Valle de Guadalupe)";"Cabernet Sauvignon";"L.A. Cetto"
"112439";"Mexico";"Pithy, citrusy aromas are about all the nose offers. This feels citrusy, with adequate weight. Flavors of citrus, apple, melon and bitterness end chalky and dry.";"Estate Bottled";"83";"11";"Valle de Guadalupe";NA;"Michael Schachner";"L.A. Cetto 2011 Estate Bottled Sauvignon Blanc (Valle de Guadalupe)";"Sauvignon Blanc";"L.A. Cetto"
"112439";"Mexico";"Pithy, citrusy aromas are about all the nose offers. This feels citrusy, with adequate weight. Flavors of citrus, apple, melon and bitterness end chalky and dry.";"Estate Bottled";"83";"11";"Valle de Guadalupe";NA;"Michael Schachner";"L.A. Cetto 2011 Estate Bottled Sauvignon Blanc (Valle de Guadalupe)";"Sauvignon Blanc";"L.A. Cetto"
"108871";"Mexico";"This is light on the nose, with almost airy aromas of raspberry and cherry. Fuller and more grabby in the mouth, it has firm tannins and sweet flavors of berry and cherry darkened by a toasty accent. A little fiery on the finish, it has mild heat that food will tame.";"Doménica";"88";"22";"Valle de Guadalupe";NA;"Michael Schachner";"Viñas Pijoan 2009 Doménica Red (Valle de Guadalupe)";"Red Blend";"Viñas Pijoan"
"107135";"Mexico";"Pickled, briny aromas set up a plump palate that is the best part of the wine. Flavors of bland melon are salty, while the finish fails to improve on anything that came before it.";"Estate Bottled";"81";"11";"Valle de Guadalupe";NA;"Michael Schachner";"L.A. Cetto 2011 Estate Bottled Chardonnay (Valle de Guadalupe)";"Chardonnay";"L.A. Cetto"
"107133";"Mexico";"Honey on the nose and palate is the most distinguished component of this otherwise generic white wine that runs sweet and basic. Mild additional notes of melon and mango don't improve the overall take-away.";"Estate Bottled";"82";"11";"Valle de Guadalupe";NA;"Michael Schachner";"L.A. Cetto 2011 Estate Bottled Chenin Blanc (Valle de Guadalupe)";"Chenin Blanc";"L.A. Cetto"
"107133";"Mexico";"Honey on the nose and palate is the most distinguished component of this otherwise generic white wine that runs sweet and basic. Mild additional notes of melon and mango don't improve the overall take-away.";"Estate Bottled";"82";"11";"Valle de Guadalupe";NA;"Michael Schachner";"L.A. Cetto 2011 Estate Bottled Chenin Blanc (Valle de Guadalupe)";"Chenin Blanc";"L.A. Cetto"
"105811";"Mexico";"This pink wine is made from Grenache grapes. It's fresh, clean and spunky on the nose, with good acidity cutting into what would otherwise be a thick body. Flavors of plum, cherry and citrus make this a solid rosado from Mexico.";"Calixa";"86";"17";"Valle de Guadalupe";NA;"Michаel Schаchner";"Monte Xanic 2012 Calixa Rosado (Valle de Guadalupe)";"Rosado";"Monte Xanic"
