"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"105886";"Morocco";"From the first whiff of cherry, cranberry and caramel you know you are in for a treat. Flavors of clove, marzipan and grilled peach add nuance to the red fruit driven palate. The smooth tannins persist without overpowering the bright fruit and spice tones.";NA;"90";"17";"Zenata";NA;"Mike DeSimone";"Ouled Thaleb 2010 Syrah (Zenata)";"Syrah";"Ouled Thaleb"
"91532";"Morocco";"Deep straw to the eye, this wine has a bouquet of lemon curd and apricot. Slightly savory flavors of pear, apricot, lavender and thyme are joined in the finish by the faintest hint of sweetness and a floral note.";NA;"87";"15";"Zenata";NA;"Mike DeSimone";"Ouled Thaleb 2014 White (Zenata)";"White Blend";"Ouled Thaleb"
"88671";"Morocco";"Aromas of peach, green apple and freesia yield to flavors of apricot, peach, orange zest and rose petal. Light in the mouth, with touches of smooth viscosity, the finish is bright but pleasantly subdued.";"Médallion";"88";"18";"Zenata";NA;"Mike DeSimone";"Ouled Thaleb 2012 Médallion Sauvignon Blanc (Zenata)";"Sauvignon Blanc";"Ouled Thaleb"
"86411";"Morocco";"Medium yellow in the glass, this wine features a nose of citrus, with a touch of floral notes. It is bright on entry, and then fills the mouth with soft tannins and flavors of grapefruit, guava and pineapple that lead to a bright citrus splash on the finish.";NA;"88";"18";"Morocco";NA;"Mikе DеSimonе";"Ouled Thaleb 2016 Sauvignon Blanc (Morocco)";"Sauvignon Blanc";"Ouled Thaleb"
"86410";"Morocco";"Aromas of blackberry, black currant and ground black pepper set the scene for flavors of brambleberry, cassis, chocolate and smoke. It is bright on entry, with fruit and acidity making way for savory notes and smooth tannins, ultimately wrapping up with a zesty cranberry finish.";"Moroccan";"88";"15";"Zenata";NA;"Mikе DеSimоnе";"Ouled Thaleb 2015 Moroccan Red (Zenata)";"Red Blend";"Ouled Thaleb"
"84861";"Morocco";"Deep ruby red to the eye, this red wine has a nose of cherry, pomegranate and lemon peel. It comes on bright, offering flavors of cherry, peach, eucalyptus, rose petal and pencil lead. Velvety tannins coat the palate into a finish that is a luscious mélange of cherry and orange zest with a touch of mint.";NA;"90";"18";"Zenata";NA;"Mikе DеSimonе";"Ouled Thaleb 2012 Syrah (Zenata)";"Syrah";"Ouled Thaleb"
"84485";"Morocco";"Aromas of white peach and honeysuckle yield to flavors of grapefruit, peach, jasmine and orange blossom. This wine is smooth in the mouth and the zesty finish is characterized by lingering floral flavors.";NA;"88";"18";"Zenata";NA;"Mikе DеSimonе";"Ouled Thaleb 2014 Sauvignon Blanc (Zenata)";"Sauvignon Blanc";"Ouled Thaleb"
"81403";"Morocco";"This wine features a bouquet of peach and rose petal. It is well balanced on the palate, offering flavors of nectarine, lemon and freesia that lead to a floral- and citrus-laced finish.";"Un-Oaked";"88";"18";"Morocco";NA;"Mikе DеSimоnе";"Ouled Thaleb 2015 Un-Oaked Chardonnay (Morocco)";"Chardonnay";"Ouled Thaleb"
"78837";"Morocco";"A black cherry hue in the glass, this blend of 70% Cabernet Sauvignon and 30% Grenache has a bouquet of ripe cherry, vanilla, toffee and chocolate. Smooth tannins are barely felt unless you linger a moment too long before the next sip. Flavors of black cherry, blackberry, toffee, eucalyptus and sage power through the lasting finish.";NA;"91";"14";"Zenata";NA;"Mikе DеSimоnе";"Ouled Thaleb 2012 Red (Zenata)";"Red Blend";"Ouled Thaleb"
"78837";"Morocco";"A black cherry hue in the glass, this blend of 70% Cabernet Sauvignon and 30% Grenache has a bouquet of ripe cherry, vanilla, toffee and chocolate. Smooth tannins are barely felt unless you linger a moment too long before the next sip. Flavors of black cherry, blackberry, toffee, eucalyptus and sage power through the lasting finish.";NA;"91";"14";"Zenata";NA;"Mike DeSimone";"Ouled Thaleb 2012 Red (Zenata)";"Red Blend";"Ouled Thaleb"
"78836";"Morocco";"A blend of 50% Arinarnoa, 50% Tannat and 25% Malbec, this inky, garnet-colored wine has aromas of blackberry and brambles with a touch of green bell pepper. Flavors of cherry, blackberry, oregano, black olive and coffee make for a lively mix on the palate, backed by a core of chewy tannins. The fruit-laced finish has a savory kick of Kalamata olive and thyme.";"Aït Souala";"91";"25";"Morocco";NA;"Mikе DеSimоnе";"Ouled Thaleb 2011 Aït Souala Red (Morocco)";"Red Blend";"Ouled Thaleb"
"71431";"Morocco";"Aromas of black cherry, toffee and black pepper set the scene for flavors of cherry, espresso bean, violet and flint. Velvety tannins structure a silky palate, and a vein of brightness shines through the long finish.";NA;"89";"14";"Zenata";NA;"Mikе DеSimоnе";"Ouled Thaleb 2011 Cabernet Sauvignon Grenache (Zenata)";"Cabernet Sauvignon Grenache";"Ouled Thaleb"
"70661";"Morocco";"Soft and refreshing on the palate, this wine has flavors of pear, fennel bulb and honeysuckle. Very subtle tannins lead to a lingering and bright finish.";"Un-Oaked";"89";"18";"Zenata";NA;"Mike DeSimone";"Ouled Thaleb 2011 Un-Oaked Chardonnay (Zenata)";"Chardonnay";"Ouled Thaleb"
"69122";"Morocco";"Medium yellow in color, this wine has aromas of tangerine and Turkish delight. It is soft on the palate, with flavors of pineapple, lemon and flint that lead to a lime zest finish.";"Moroccan";"87";"15";"Morocco";NA;"Mikе DеSimоnе";"Ouled Thaleb 2016 Moroccan White (Morocco)";"White Blend";"Ouled Thaleb"
"61177";"Morocco";"This wine offers aromas of rose petal and geranium with a hint of lemon. It is full on the palate, with flavors of toasted pineapple, white peach, lilac and Turkish delight. The smooth finish is marked by savory touches, with a nice balance of fruit and floral flavors.";"Un-Oaked";"88";"18";"Zenata";NA;"Mikе DеSimоnе";"Ouled Thaleb 2014 Un-Oaked Chardonnay (Zenata)";"Chardonnay";"Ouled Thaleb"
