"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119976";"New Zealand";"This blend of Cabernet Sauvignon-Merlot and Cabernet Franc is full bodied and firm, the tannins just beginning to soften. The aromas and flavors are classic: cedar, vanilla, cassis and tobacco. Drink now–2020.";"Irongate";"90";"35";"Hawke's Bay";NA;"Joe Czerwinski";"Babich 2010 Irongate Red (Hawke's Bay)";"Bordeaux-style Red Blend";"Babich"
"119974";"New Zealand";"The blend is 44% Merlot, 33% Cabernet Sauvignon and 22% Malbec. The result is a medium- to full-bodied wine with firm structure that should drink well through 2020. Leather, earth and plum notes pick up hints of black olive and espresso on the finish.";"Gimblett Gravels Merlot-Cabernet Sauvignon-Malbec";"90";"19";"Hawke's Bay";NA;"Joе Czеrwinski";"Esk Valley 2011 Gimblett Gravels Merlot-Cabernet Sauvignon-Malbec Red (Hawke's Bay)";"Bordeaux-style Red Blend";"Esk Valley"
"119974";"New Zealand";"The blend is 44% Merlot, 33% Cabernet Sauvignon and 22% Malbec. The result is a medium- to full-bodied wine with firm structure that should drink well through 2020. Leather, earth and plum notes pick up hints of black olive and espresso on the finish.";"Gimblett Gravels Merlot-Cabernet Sauvignon-Malbec";"90";"19";"Hawke's Bay";NA;"Joe Czerwinski";"Esk Valley 2011 Gimblett Gravels Merlot-Cabernet Sauvignon-Malbec Red (Hawke's Bay)";"Bordeaux-style Red Blend";"Esk Valley"
"119973";"New Zealand";"Like Dog Point's 2011 Chardonnay, this wine is dominated by citrusy elements. Hints of toasted almond and some riper notes of pear provide a certain amount of breadth on the palate, but citrus and quince dominate, lingering on the crisp finish. Drink now–2017.";NA;"90";"40";"Marlborough";NA;"Joe Czerwinski";"Dog Point 2012 Chardonnay (Marlborough)";"Chardonnay";"Dog Point"
"119972";"New Zealand";"One of the more characterful Pinot Gris for this price, Ara's 2013 offers wet stone and apple aromas, flavors of apple, cinnamon and pear and a long, mouthwatering finish. There's a bit of creaminess on the midpalate and just a hint of dusty texture on the finish.";"Single Estate";"90";"15";"Marlborough";NA;"Joe Czerwinski";"Ara 2013 Single Estate Pinot Gris (Marlborough)";"Pinot Gris";"Ara"
"119972";"New Zealand";"One of the more characterful Pinot Gris for this price, Ara's 2013 offers wet stone and apple aromas, flavors of apple, cinnamon and pear and a long, mouthwatering finish. There's a bit of creaminess on the midpalate and just a hint of dusty texture on the finish.";"Single Estate";"90";"15";"Marlborough";NA;"Joe Czerwinski";"Ara 2013 Single Estate Pinot Gris (Marlborough)";"Pinot Gris";"Ara"
"119971";"New Zealand";"Roughly two-thirds Cabernet and one-third Merlot, this medium-bodied wine packs in ample plum fruit, accented by cinnamon and cedar. Finishes long, with a slightly velvety texture.";"Elspeth";"90";"25";"Hawke's Bay";NA;"Joe Czerwinski";"Mills Reef 2011 Elspeth Cabernet Merlot (Hawke's Bay)";"Cabernet Merlot";"Mills Reef"
"119971";"New Zealand";"Roughly two-thirds Cabernet and one-third Merlot, this medium-bodied wine packs in ample plum fruit, accented by cinnamon and cedar. Finishes long, with a slightly velvety texture.";"Elspeth";"90";"25";"Hawke's Bay";NA;"Joе Czеrwinski";"Mills Reef 2011 Elspeth Cabernet Merlot (Hawke's Bay)";"Cabernet Merlot";"Mills Reef"
"119873";"New Zealand";"A slightly chunky Pinot Noir, with sturdy black cherry fruit, mushroomy overtones and a cedary touch. It's full-bodied and mouthfilling, just lacks an extra measure of elegance, showing off some rough edges on the finish.";NA;"86";"17";"Marlborough";NA;"Jое Czеrwinski";"Kim Crawford 2007 Pinot Noir (Marlborough)";"Pinot Noir";"Kim Crawford"
"119841";"New Zealand";"This is a rather weighty Pinot Noir, still filled with the exuberant fruit of youth—all plums and black cherries, framed with hints of vanilla and spice. Despite the heft, the tannins are soft, making this wine immediately accessible. Drink now–2015.";NA;"89";"37";"Central Otago";NA;"Joe Czerwinski";"Prophet's Rock 2007 Pinot Noir (Central Otago)";"Pinot Noir";"Prophet's Rock"
"119837";"New Zealand";"VM's 2010 Cellar Selection SB is slightly weightier than its Private Bin counterpart, but not necessarily better. Tomato leaf notes cruise alongside bold pineapple and citrus, ending in a mouthwatering crescendo of flavor.";"Cellar Selection";"89";"20";"Marlborough";NA;"Joe Czerwinski";"Villa Maria 2010 Cellar Selection Sauvignon Blanc (Marlborough)";"Sauvignon Blanc";"Villa Maria"
"119492";"New Zealand";"Shows a lifted, herbal edge to the aromas of ripe pear and melon, making it fairly aromatic for NZ Pinot Gris. It's medium-bodied, soft and lush on the palate, with the right balance between sugar and acids so that it doesn't come across as being too sweet.";"Private Bin";"87";"15";"East Coast";NA;"Joe Czerwinski";"Villa Maria 2009 Private Bin Pinot Gris (East Coast)";"Pinot Gris";"Villa Maria"
"119255";"New Zealand";"A rare Marlborough Merlot, this is a superficially charming wine that shows cassis fruit and lashings of smoky, cedary oak. It does lack a bit of richness, particularly on the finish, but it scores for its upfront display of ripe fruit and toasty oak.";"Rapaura Reserve";"87";"30";"Marlborough";NA;"Jоe Czerwinski";"Saint Clair 2010 Rapaura Reserve Merlot (Marlborough)";"Merlot";"Saint Clair"
"119020";"New Zealand";"Medium-bodied yet chunky in feel, this is a smoky wine, tinged with hints of roasted beetroot and mocha. Savory and earthy, it seems atypical for the variety and region.";"The King's Fury";"85";"25";"Marlborough";NA;"Joe Czerwinski";"Marisco Vineyards 2015 The King's Fury Pinot Noir (Marlborough)";"Pinot Noir";"Marisco Vineyards"
"119020";"New Zealand";"Medium-bodied yet chunky in feel, this is a smoky wine, tinged with hints of roasted beetroot and mocha. Savory and earthy, it seems atypical for the variety and region.";"The King's Fury";"85";"25";"Marlborough";NA;"Joе Czеrwinski";"Marisco Vineyards 2015 The King's Fury Pinot Noir (Marlborough)";"Pinot Noir";"Marisco Vineyards"
"119009";"New Zealand";"A vibrant crimson in color, this offers more restrained aromas and flavors than expected. Cherries and citrus pith marry with notes of wet stone, finishing on a refreshing note despite the wine's ample weight.";"Pinot Noir";"85";"22";"South Island";NA;"Joe Czerwinski";"Goose Bay 2015 Pinot Noir Rosé (South Island)";"Rosé";"Goose Bay"
"119009";"New Zealand";"A vibrant crimson in color, this offers more restrained aromas and flavors than expected. Cherries and citrus pith marry with notes of wet stone, finishing on a refreshing note despite the wine's ample weight.";"Pinot Noir";"85";"22";"South Island";NA;"Jоe Czerwinski";"Goose Bay 2015 Pinot Noir Rosé (South Island)";"Rosé";"Goose Bay"
"118808";"New Zealand";"Bright and tropical, with passion fruit and pink grapefruit aromas and flavors. They come together in a plump, medium-bodied wine that finishes soft and easy—a true crowd-pleaser.";NA;"89";"15";"Awatere Valley";NA;"Joe Czerwinski";"The Crossings 2016 Sauvignon Blanc (Awatere Valley)";"Sauvignon Blanc";"The Crossings"
"118808";"New Zealand";"Bright and tropical, with passion fruit and pink grapefruit aromas and flavors. They come together in a plump, medium-bodied wine that finishes soft and easy—a true crowd-pleaser.";NA;"89";"15";"Awatere Valley";NA;"Joe Czerwinski";"The Crossings 2016 Sauvignon Blanc (Awatere Valley)";"Sauvignon Blanc";"The Crossings"
"118748";"New Zealand";"This is a fine, easy-to-drink Chardonnay. Subtle toast and cinnamon shadings accent melon and citrus fruit, and the wine is full bodied yet remains crisp through the slightly oaky finish.";NA;"88";"42";"Central Otago";NA;"Joе Czеrwinski";"Felton Road 2007 Chardonnay (Central Otago)";"Chardonnay";"Felton Road"
"118744";"New Zealand";"Kumeu's entry-level Chardonnay shows less concentrated fruit and less oak influence than its big siblings, but nonetheless displays ample pineapple and pear fruit in a full-bodied format. The oak is barely noticeable, making the wine straightforward and easy to drink.";"Village";"88";"20";"Kumeu";NA;"Jоe Czerwinski";"Kumeu River 2008 Village Chardonnay (Kumeu)";"Chardonnay";"Kumeu River"
"118177";"New Zealand";"Passion fruit and melon vie for attention on the bouquet with grassy, vegetal, herbaceous scents. In the mouth, citrus and dry Asian pear flavors intermingle with additional grassy, asparagus tones. The acids on the back end are intense, so the tang and zip on the finish is powerful. The biggest problem here is a persistent vegetal quality that won't let up.";"Dog Point";"85";"20";"Marlborough";NA;NA;"Goldwater 2001 Dog Point Sauvignon Blanc (Marlborough)";"Sauvignon Blanc";"Goldwater"
"118157";"New Zealand";"The bouquet here is confounding. It has some green vegetable and cat-pee qualities as well as white stone fruits, sulfur and popcorn. In a word, it's complicated. In the mouth, grapefrut and celery flavors mingle with green grapes, while on the back end it's chalky and rather tart. The overall acidity is high, and there's one important thing missing here: balance.";NA;"86";"16";"Marlborough";NA;NA;"Huia 2001 Sauvignon Blanc (Marlborough)";"Sauvignon Blanc";"Huia"
