"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"112998";"Peru";"Gritty, tarry cassis, licorice and toasted oak flavors lead to a full but grabby palate. This blend of 60% Cabernet Sauvignon and 40% Petit Verdot deals dark, toasty, peppery black-fruit flavors in front of an oaky, spicy finish with firm tannic bite.";"Valle del Sol";"86";"17";"Ica";NA;"Michael Schachner";"Intipalka 2012 Valle del Sol Red (Ica)";"Red Blend";"Intipalka"
"102900";"Peru";"Radiator dust and Animal Cracker aromas are not typical of Sauvignon Blanc. On the palate, this opens with mild citric notes but quickly shifts to flatness. Pithy orange and apricot flavors finish yeasty, with a distant hint of citrus zest.";"Valle del Sol";"84";"14";"Ica";NA;"Michael Schachner";"Intipalka 2014 Valle del Sol Sauvignon Blanc (Ica)";"Sauvignon Blanc";"Intipalka"
"102899";"Peru";"Forest-floor aromas of mushroom and herbal berry and plum open this Peruvian Malbec that's tight and drawing on the palate. Baked plum, chocolate and pounding oak flavors finish heavy, with notes of prune and carob.";"Valle del Sol";"84";"14";"Ica";NA;"Michаel Schаchner";"Intipalka 2014 Valle del Sol Malbec (Ica)";"Malbec";"Intipalka"
"102898";"Peru";"Stalky, earthy aromas of roasted, raw berry fruits suggest underripeness. This feels solid on the exterior but weak in the middle. Creamy, oaky plum flavors have a bitter, roasted quality, while on the finish it's heavy, creamy oak in charge.";"Valle del Sol";"84";"17";"Ica";NA;"Michаеl Schаchnеr";"Intipalka 2012 Valle del Sol Cabernet Sauvignon-Syrah (Ica)";"Cabernet Sauvignon-Syrah";"Intipalka"
"88469";"Peru";"Best on the nose, where apple and lemony aromas are true. In the mouth, it's foamy and crude, with crushing citrus and cidery flavors. Rough, bubbly and massive; tough stuff to swallow.";"Brut";"80";"15";"Ica";NA;"Michael Schachner";"Tacama 2010 Brut Sparkling (Ica)";"Sparkling Blend";"Tacama"
"83556";"Peru";"Heavy on the bouquet, with baked, rustic black fruit aromas that turn cheesy and leathery with airing. Chunky but layered in the mouth, with thick, ripe black cherry and blackberry flavors. Sweet, lightly herbal and heavy on the finish.";"Quantum";"84";"20";"Ica";NA;"Michael Schachner";"Tacama 2008 Quantum Petit Verdot (Ica)";"Petit Verdot";"Tacama"
"83556";"Peru";"Heavy on the bouquet, with baked, rustic black fruit aromas that turn cheesy and leathery with airing. Chunky but layered in the mouth, with thick, ripe black cherry and blackberry flavors. Sweet, lightly herbal and heavy on the finish.";"Quantum";"84";"20";"Ica";NA;"Michаеl Schаchnеr";"Tacama 2008 Quantum Petit Verdot (Ica)";"Petit Verdot";"Tacama"
"75791";"Peru";"Jammy strawberry and raspberry aromas are lean, reedy, wiry and grassy. This Peruvian Syrah tastes like raspberry jam, but one that's been infused with grass cuttings and cough medicine.";"Valle del Sol";"81";"14";"Ica";NA;"Michael Schachner";"Intipalka 2013 Valle del Sol Syrah (Ica)";"Syrah";"Intipalka"
"75779";"Peru";"Stone-fruit and yellow apple aromas come with a hint of ham. Flat and creamy in feel, this tastes almost entirely of leesy vanilla and pithy bitterness. In the folds are bland banana and melon notes.";"Valle del Sol";"82";"14";"Ica";NA;"Michael Schachner";"Intipalka 2014 Valle del Sol Chardonnay (Ica)";"Chardonnay";"Intipalka"
"62050";"Peru";"Applesauce aromas are sweet and dusty. Then in the mouth it's weighty and cloys, with candied white fruit flavors, vanilla and a sugary aftertaste. Hints of lemon and proper acidity give it some quality.";"Semi-Seco Blanco";"83";"10";"Ica";NA;"Michaеl Schachnеr";"Tacama 2010 Semi-Seco Blanco White (Ica)";"White Blend";"Tacama"
"61017";"Peru";"Earthy, warm and ripe on the bouquet, with a baked element but also fruit that holds its form. Full but not overdone in the mouth, with restrained berry, plum and caramel flavors. Not pushy; subdued on the finish. Petit Verdot, Malbec and Tannat.";"Sinfonía Tannat-Malbec-Petit Verdot";"86";"20";"Ica";NA;"Michael Schachner";"Tacama 2008 Sinfonía Tannat-Malbec-Petit Verdot Red (Ica)";"Red Blend";"Tacama"
"37111";"Peru";"At first, this blend of Cabernet Sauvignon, Tannat and Syrah smells so baked and oaky that it seems overripe. In the mouth, the tannins are like sandpaper, while oaky flavors of rooty, baked berry fruits end timid, with a heavy slathering of residual barrel flavors.";"Valle del Sol No 1 Gran Reserva";"85";"68";"Ica";NA;"Michаеl Schаchnеr";"Intipalka 2010 Valle del Sol No 1 Gran Reserva Red (Ica)";"Red Blend";"Intipalka"
"23268";"Peru";"Earthy plum and blackberry aromas are crisp and raw, with overt wood grain riding heavily on the bouquet. This is 60% Merlot and 40% Malbec; it feels grabby, while toasty, heavily oaked flavors of clove and bitter chocolate smother the wine's fruit before turning charred and roasted on the finish.";"Valle del Sol Reserva";"85";"17";"Ica";NA;"Michael Schachner";"Intipalka 2012 Valle del Sol Reserva Malbec-Merlot (Ica)";"Malbec-Merlot";"Intipalka"
"14622";"Peru";"Hot and leathery up front, with stewy notes and candied red fruit aromas. The palate features smacking tannic bite along with foxy-tasting red fruit. Turns medicinal on the finish.";"Gran Tinto";"81";"10";"Ica";NA;"Michaеl Schachnеr";"Tacama 2009 Gran Tinto Red (Ica)";"Red Blend";"Tacama"
"14617";"Peru";"Apple and citrus aromas struggle to hold it together. Citrusy acids control the palate, yielding grapefruit, orange and pithy flavors. Feels unruly. Sauvignon, Sémillon, Chenin Blanc and Viognier.";"Gran Blanco";"82";"10";"Ica";NA;"Michael Schachner";"Tacama 2010 Gran Blanco White (Ica)";"White Blend";"Tacama"
"13011";"Peru";"Roasted and earthy smelling, with a pinch of iodine and even a whiff of bacon or ham. Rich, full and a touch sticky on the tongue, with baked berry and chocolate flavors. Mellow and sweet on the back end. 100% Malbec.";"Halcón de la Viña";"85";"15";"Ica";NA;"Michael Schachner";"Tacama 2008 Halcón de la Viña Malbec (Ica)";"Malbec";"Tacama"
"6537";"Peru";"Aromas of freshly laid asphalt and char-grilled hamburger shroud herbal berry aromas. This Tannat is chunky on the palate, but low on structure. Modest plum flavors come with stewed, spicy accents, while toasty oak is draped over a chewy, meaty finish.";"Valle del Sol";"85";"14";"Ica";NA;"Michael Schachner";"Intipalka 2013 Valle del Sol Tannat (Ica)";"Tannat";"Intipalka"
