"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119927";"South Africa";"Pleasant scents of toasted apple and peach pit lead the nose of this rich yet well-balanced wine, with additional notes of grilled pineapple and fresh straw. The medium-weight palate is plush and creamy, yet it offers ample acidity to lift the wine's richness and ripe fruit flavors. Spiced orange, lemon custard and fresh honeycomb all grace the long, evolving finish. Drink now–2020.";"Reserve";"91";"35";"Stellenbosch";NA;"Lauren Buzzeo";"DeMorgenzon 2015 Reserve Chardonnay (Stellenbosch)";"Chardonnay";"DeMorgenzon"
"119926";"South Africa";"Toasty aroams of grilled apple, peach and honeycomb lead the way on the nose of this attractive wine, though with some restraint and overall balance, thanks to supporting acidity and ripe, juicy fruit flavors on the palate. Notes of sweet orange oil and ginger-peach tea grace the medium-length finish. Drink now–2019.";"Bon Vallon";"91";"20";"Robertson";NA;"Lаuren Buzzeо";"De Wetshof 2016 Bon Vallon Chardonnay (Robertson)";"Chardonnay";"De Wetshof"
"119926";"South Africa";"Toasty aroams of grilled apple, peach and honeycomb lead the way on the nose of this attractive wine, though with some restraint and overall balance, thanks to supporting acidity and ripe, juicy fruit flavors on the palate. Notes of sweet orange oil and ginger-peach tea grace the medium-length finish. Drink now–2019.";"Bon Vallon";"91";"20";"Robertson";NA;"Laurеn Buzzео";"De Wetshof 2016 Bon Vallon Chardonnay (Robertson)";"Chardonnay";"De Wetshof"
"119902";"South Africa";"A tropical tone of grilled pineapple adds breadth to the nose and mouth of this lush yet well-balanced wine. Scents of yellow flowers, musk melon and sweet smoke unfold on the nose, while the palate shines in rich waves of toasted brioche, baked apple and clementine oil. It's medium weight, with a plush texture that's cut by citrusy acidity. Drink now–2019.";NA;"91";"37";"Cape Peninsula";NA;"Lauren Buzzeo";"Cape Point Vineyards 2013 Chardonnay (Cape Peninsula)";"Chardonnay";"Cape Point Vineyards"
"119866";"South Africa";"This Bradgate blend of Chenin and Sauvignon Blanc offers food-friendly aromas and flavors of lemon spice, pepper and slate. It's zippy but fruity, with a spicy character that will pair well with like foods—think Asian spice. The Chenin offers roundness, while the SB gives citric, clean flavors. A nice match.";"Chenin Blanc - Sauvignon Blanc";"86";"10";"Stellenbosch";NA;"Susan Kоstrzеwa";"Bradgate 2008 Chenin Blanc - Sauvignon Blanc White (Stellenbosch)";"White Blend";"Bradgate"
"119866";"South Africa";"This Bradgate blend of Chenin and Sauvignon Blanc offers food-friendly aromas and flavors of lemon spice, pepper and slate. It's zippy but fruity, with a spicy character that will pair well with like foods—think Asian spice. The Chenin offers roundness, while the SB gives citric, clean flavors. A nice match.";"Chenin Blanc - Sauvignon Blanc";"86";"10";"Stellenbosch";NA;"Susаn Kоstrzеwа";"Bradgate 2008 Chenin Blanc - Sauvignon Blanc White (Stellenbosch)";"White Blend";"Bradgate"
"119858";"South Africa";"This wine has a slightly quiet and tight nose, but opens up into flavors of pineapple and melon buoyed by a steely minerality. Friendly and heightened with a lush character, the wine will pair well with cheeses, poultry and seafood.";NA;"86";"9";"Robertson";NA;"Susan Kostrzеwa";"Robertson Winery 2008 Chenin Blanc (Robertson)";"Chenin Blanc";"Robertson Winery"
"119807";"South Africa";"Soft scents of just-dried hay, yellow apple and white melon unfold with great intensity on the bright palate. Balanced and refreshing, with an attractive mango flavor on the finish. Drink now.";"The Rumor Mill";"87";"18";"Western Cape";NA;"Lauren Buzzeo";"Flagstone 2012 The Rumor Mill Viognier (Western Cape)";"Viognier";"Flagstone"
"119807";"South Africa";"Soft scents of just-dried hay, yellow apple and white melon unfold with great intensity on the bright palate. Balanced and refreshing, with an attractive mango flavor on the finish. Drink now.";"The Rumor Mill";"87";"18";"Western Cape";NA;"Lauren Buzzeo";"Flagstone 2012 The Rumor Mill Viognier (Western Cape)";"Viognier";"Flagstone"
"119688";"South Africa";"Sweet but not overdone, with attractive aromas of lychee, peach and rose water. Medium weight, with a fruity but somewhat thin finish. Drink now.";NA;"84";"10";"Western Cape";NA;"Lаuren Buzzeо";"Two Oceans 2011 Moscato (Western Cape)";"Moscato";"Two Oceans"
"119498";"South Africa";"A touch of green plum and cigar spice keep things vibrant on this black cherry, plum and pepper heavy wine. Balanced and approachable with medium acidity and tannins leading through to the spicy finish.";NA;"87";"15";"Stellenbosch";NA;"Lаurеn Buzzео";"Simonsig 2007 Pinotage (Stellenbosch)";"Pinotage";"Simonsig"
"119400";"South Africa";"Green grass and a hint of baby powder are paired with notes of green gooseberry and lime on the nose, while riper but similarly tart flavors of white cranberry and citrus take hold of the mouthwatering palate. Drink now.";NA;"86";"13";"Western Cape";NA;"Lаurеn Buzzео";"Eikendal 2010 Sauvignon Blanc (Western Cape)";"Sauvignon Blanc";"Eikendal"
"119395";"South Africa";"Fresh, clean and easy with ripe aromas of red apple flesh and hard nectarine on the nose and a solid lime-driven citrus core that livens up the palate and the finish. Drink now.";"Collection";"86";"9";"Swartland";NA;"Lauren Buzzeo";"Riebeek Cellars 2010 Collection Chardonnay (Swartland)";"Chardonnay";"Riebeek Cellars"
