"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119975";"Spain";"Lightly baked berry aromas vie for attention with leather, spice and mild earth notes, and the result is disjointed. On the palate, this is tight as a drum initially, but more expansive as it unfolds. Cherry, plum, raspberry, vanilla and woodspice flavors finish pure, clean and easy. This is a fine yet manageable Rioja that's not trying too hard. Drink through 2016.";"Crianza";"90";"17";"Northern Spain";"Rioja";"Michael Schachner";"Viñedos Real Rubio 2010 Crianza  (Rioja)";"Tempranillo Blend";"Viñedos Real Rubio"
"119948";"Spain";"Arguably on the heavy and rich side, but if you like chocolate, spice and pretty good pop across the palate, this is recommended. Rugged but not out of whack, with meaty dark-fruit flavors and bitter espresso/pepper on the finish. Should come together nicely over the next two years.";"Crianza";"91";"26";"Northern Spain";"Ribera del Duero";"Michael Schachner";"Costaval 2005 Crianza  (Ribera del Duero)";"Tempranillo Blend";"Costaval"
"119946";"Spain";"This represents Torres' highest effort in Priorat, and it's a success. Perpetual deals freshly laid asphalt, cola and grilled char on the nose and then follows that up with black cherry, cassis and tobacco flavors. It's pure and ripe more than intellectual. Best 2009–2013; 60 cases produced.";"Salmos Perpetual";"91";"52";"Catalonia";"Priorat";"Michаel Schаchner";"Torres 2005 Salmos Perpetual Red (Priorat)";"Red Blend";"Torres"
"119921";"Spain";"Dry apple and lemon aromas are clean and one step above neutral. In the mouth, this barrel-fermented Verdejo feels full and flush, with citrusy acidity. Integrated oak notes accent a core orange flavor on the finish of this finely made Spanish white.";"Finca Las Marcas Fermentado en Barrica";"91";"40";"Northern Spain";"Rueda";"Michael Schachner";"Carlos Moro 2015 Finca Las Marcas Fermentado en Barrica Verdejo (Rueda)";"Verdejo";"Carlos Moro"
"119921";"Spain";"Dry apple and lemon aromas are clean and one step above neutral. In the mouth, this barrel-fermented Verdejo feels full and flush, with citrusy acidity. Integrated oak notes accent a core orange flavor on the finish of this finely made Spanish white.";"Finca Las Marcas Fermentado en Barrica";"91";"40";"Northern Spain";"Rueda";"Michael Schachner";"Carlos Moro 2015 Finca Las Marcas Fermentado en Barrica Verdejo (Rueda)";"Verdejo";"Carlos Moro"
"119903";"Spain";"After 23 months in barrel, this Viura-Malvasia blend shows a yellow color and dry resiny oak-based aromas along with apple in the backdrop. Round and slightly oily in texture, this tastes of salted nuts and baked apple on a woody base. Oaky salty flavors persist on the finish.";"Gran Reserva";"91";"43";"Northern Spain";"Rioja";"Michael Schachner";"Valserrano 2009 Gran Reserva White (Rioja)";"White Blend";"Valserrano"
"119903";"Spain";"After 23 months in barrel, this Viura-Malvasia blend shows a yellow color and dry resiny oak-based aromas along with apple in the backdrop. Round and slightly oily in texture, this tastes of salted nuts and baked apple on a woody base. Oaky salty flavors persist on the finish.";"Gran Reserva";"91";"43";"Northern Spain";"Rioja";"Michаеl Schаchnеr";"Valserrano 2009 Gran Reserva White (Rioja)";"White Blend";"Valserrano"
"119895";"Spain";"Cool, minty aromas of blueberry and blackberry set up a full, tannic palate, which is what you'd expect from a young Ribera del Duero. Grabby, tannic fullness offers flavors of meaty black fruits, herbs and tobacco. A savory finish runs long on a frame of blocky tannins.";NA;"90";"45";"Northern Spain";"Ribera del Duero";"Michаеl Schаchnеr";"Bodegas y Viñedos Tábula 2014  Ribera del Duero";"Tempranillo";"Bodegas y Viñedos Tábula"
"119881";"Spain";"Lime and grapefruit aromas are a touch pithy and feline but don't go overboard. Citrusy and minerally on the palate, this tastes of lime, green melon and green banana. A pure, tangy finish holds firm.";"Ethereo";"90";"15";"Galicia";"Rías Baixas";"Michael Schachner";"Bodegas Eidosela 2015 Ethereo Albariño (Rías Baixas)";"Albariño";"Bodegas Eidosela"
"119834";"Spain";"Attractive and fruity on the front end, this has pure berry aromas but not a lot of nuance or complexity. It narrows a bit on the palate, with tight tannins that support the black fruit and coffee flavors. Juicy, bright and solid on the finish.";"Secreto Reserva";"89";NA;"Northern Spain";"Ribera del Duero";"Michаеl Schаchnеr";"Viña Mayor 2006 Secreto Reserva  (Ribera del Duero)";"Tempranillo";"Viña Mayor"
