"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"118278";"Turkey";"This wine is red-violet in colour and has a nose of raspberry and fennel. There is a nice interplay of medium-weight tannins and bright acidity, with flavors of cranberry, tart cherry, chocolate and flint. The zesty finish is followed by the lingering presence of soft tannins on the tongue and gums.";NA;"89";"21";"Turkey";NA;"Mike DeSimоne";"Yazgan 2014 Boğazkere (Turkey)";"Boğazkere";"Yazgan"
"118211";"Turkey";"This blend of 34% Merlot, 26% Cabernet Sauvignon, 21% Syrah and 19% Cabernet Franc is dark violet-red in color. The nose offers a fruity and spicy mélange, like baked blueberry pie. Tannins slightly overpower flavors of blueberry, cherry, clove, anise and thyme.";"Merlot-Cabernet Sauvignon-Syrah-Cabernet Franc";"87";"60";"Aegean";NA;"Mikе DеSimonе";"Selendi 2011 Merlot-Cabernet Sauvignon-Syrah-Cabernet Franc Red (Aegean)";"Red Blend";"Selendi"
"117563";"Turkey";"A nose of cherry, white peach and jalapeño sets the stage. Next, flavors of cherry, plum, sage and thyme work their way through the mouth with an interesting juxtaposition of fruit and savory notes. Super-soft, almost invisible tannins give way to a smooth finish hallmarked by notes of fresh minerality.";"Pendore";"92";"33";"Aegean";NA;"Mikе DеSimоnе";"Kavaklidere 2010 Pendore Öküzgözü (Aegean)";"Okuzgozu";"Kavaklidere"
"117440";"Turkey";"A nose of raspberry, brambles and confectioner's sugar gives way to flavors of strawberry, peach, menthol and eucalyptus. A fairly stiff tannic structure and tart, slightly green notes keep this wine from fully coming together on the palate.";"Casaba";"87";"16";"Turkey";NA;"Mike DeSimone";"Yazgan 2014 Casaba Cabernet Sauvignon-Merlot (Turkey)";"Cabernet Sauvignon-Merlot";"Yazgan"
"116013";"Turkey";"Clean and bright on the nose, with loads of black plums and blueberries. This wine, made from Öküzgözü grapes, is an interesting glimpse into Turkish winemaking. Dry and medium bodied, with a firm tannic structure and brisk acidity, it finishes with a hint of milk chocolate flavor. Could benefit from decanting, but would be an interesting to age as well.";"Vintage Single Vineyard Collectible Series #5";"88";"20";"Elazığ";NA;"Anna Lee C. Iijima";"Kayra 2008 Vintage Single Vineyard Collectible Series #5 Okuzgozu (Elazığ)";"Okuzgozu";"Kayra"
"116013";"Turkey";"Clean and bright on the nose, with loads of black plums and blueberries. This wine, made from Öküzgözü grapes, is an interesting glimpse into Turkish winemaking. Dry and medium bodied, with a firm tannic structure and brisk acidity, it finishes with a hint of milk chocolate flavor. Could benefit from decanting, but would be an interesting to age as well.";"Vintage Single Vineyard Collectible Series #5";"88";"20";"Elazığ";NA;"Anna Lee C. Iijima";"Kayra 2008 Vintage Single Vineyard Collectible Series #5 Okuzgozu (Elazığ)";"Okuzgozu";"Kayra"
"114311";"Turkey";"A nose of strawberry and mint with a whiff of petrol sets the scene for flavors of cassis, cherry preserves, peach and eucalyptus that never quite coalesce. Soft tannins drop off immediately after a burst of white peach at the finish.";NA;"86";"15";"Turkey";NA;"Mike DeSimone";"Çamlibağ 2012 Kuntra (Turkey)";"Kuntra";"Çamlibağ"
"113404";"Turkey";"Dark cherry in color, this wine features a bouquet of raspberry and chocolate with a hint of smoked meat. It is very light on the palate, and flavors of cherry, strawberry and thyme play on the tongue into the bright, clean finish.";"Reserve";"88";"25";"Ankara";NA;"Mike DeSimone";"Vinkara 2011 Reserve Kalecik Karasi (Ankara)";"Kalecik Karasi";"Vinkara"
"112703";"Turkey";"Aromas of cherry, espresso bean, orange zest and nutmeg prepare the palate for flavors of black cherry, coffee, caramel, white chocolate and violet. Smooth tannins linger through a finish that is marked with a touch of orange peel.";"Winehouse";"90";"23";"Ankara";NA;"Mike DeSimone";"Vinkara 2013 Winehouse Öküzgözü (Ankara)";"Okuzgozu";"Vinkara"
"112699";"Turkey";"Dark ruby in the glass, this wine has a nose of blackberry, cassis and smoke. It is round in the mouth with bold acidity that does not overtake the silky tannins. Flavors of cassis, cherry pie, flint, anisette and violet continue into a finish that lingers with equal parts smooth tannins and bright acidity.";NA;"90";"19";"Cappadocia";NA;"Mike DeSimone";"Turasan 2014 Boğazkere (Cappadocia)";"Boğazkere";"Turasan"
"112699";"Turkey";"Dark ruby in the glass, this wine has a nose of blackberry, cassis and smoke. It is round in the mouth with bold acidity that does not overtake the silky tannins. Flavors of cassis, cherry pie, flint, anisette and violet continue into a finish that lingers with equal parts smooth tannins and bright acidity.";NA;"90";"19";"Cappadocia";NA;"Mikе DеSimоnе";"Turasan 2014 Boğazkere (Cappadocia)";"Boğazkere";"Turasan"
"110917";"Turkey";"Said to be the first traditional method sparkling wine produced in Turkey, this is made from Kalecik Karasi, an indigenous red grape. It delivers a bouquet of Granny Smith apple, ripe peach and white flowers. These are followed by a strong sense of effervescence and flavors of nectarine, lemon, green apple and rose petal, with the faintest sense of sweetness. It is zesty and alive, culminating in a lingering peach-pie finish.";"Yasasin";"91";"40";"Ankara";NA;"Mikе DеSimоnе";"Vinkara 2014 Yasasin Kalecik Karasi (Ankara)";"Kalecik Karasi";"Vinkara"
"110116";"Turkey";"Ruby-violet in color, this wine has aromas of cherry, cola and almond blossom. Smooth and bright on the palate, with soft tannins, shades of cherry, menthol and smoked meat bring nuance to the finish.";"Collection";"89";"14";"Turkey";NA;"Mikе DеSimonе";"Diren 2012 Collection Öküzgözü (Turkey)";"Okuzgozu";"Diren"
"103461";"Turkey";"Pomegranate, cherry cola and forest floor aromas lead to flavors of mint, pomegranate and cherry cola. Well-rounded in the mouth and with strong tannins, this blend of Merlot, Syrah, Cabernet Sauvignon, Cabernet Franc and Petit Verdot has a pleasantly chewy yet refreshing finish.";"Tempus";"89";"56";"Aegean";NA;"Mike DeSimone";"Urla 2011 Tempus Red (Aegean)";"Red Blend";"Urla"
"101196";"Turkey";"This wine is dark garnet to the eye, offering aromas of pomegranate, juniper berry and bell pepper. Overpowering tannins remain in the forefront of flavors of cooked cherry, pine needles, cassis and mint. While the tannins never feel to recede on the palate, there is a sensation of the faintest splash of brightness on the finish.";"Galî Evreshe";"86";"25";"Turkey";NA;"Mike DeSimone";"Kavur 2011 Galî Evreshe Red (Turkey)";"Bordeaux-style Red Blend";"Kavur"
