"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119592";"Uruguay";"Mint, leather and berry aromas result in a strong, warm bouquet with a note of just-run horse and saddle. In the mouth, this feels good and rich, with weight and acidity for balance. Flavors of carob, mint and herbs accent core black-fruit notes, and the finish is dark, with licorice and chocolate flavors.";NA;"88";"29";"Canelones";NA;"Michael Schachner";"Artesana 2011 Tannat-Merlot (Canelones)";"Tannat-Merlot";"Artesana"
"119568";"Uruguay";"A mix of tropical fruit, peach pit and apple aromas lead to a sold palate. Basic white-fruit flavors suggest pineapple and a skins-based note of bitterness that persists on the finish. Drink now.";"Reserva";"87";"17";"Uruguay";NA;"Michael Schachner";"Garzón 2016 Reserva Albariño (Uruguay)";"Albariño";"Garzón"
"119567";"Uruguay";"Jammy aromas of floral berry fruits, lavender and violets are savory and stir interest. Drying tannins are the roughest part of a mostly balanced palate, while blue-fruit flavors are backed by chocolaty oak. A finish with manageable tannins is the close.";"Varietals";"87";"20";"Uruguay";NA;"Michael Schachner";"Garzón 2014 Varietals Tannat (Uruguay)";"Tannat";"Garzón"
"118983";"Uruguay";"Earthy, dusty, slightly cheesy plum and cassis aromas come with a floral note. This Tannat-led blend feels plummy and healthy, with direct acidity. Blackberry, plum and fig flavors finish smooth and chocolaty, with residual berry fruit. Drink through 2019.";"Select Blend Reserva";"90";"20";"Canelones";NA;"Michael Schachner";"Pizzorno 2013 Select Blend Reserva Red (Canelones)";"Red Blend";"Pizzorno"
"118972";"Uruguay";"Dusty black-fruit aromas set up a palate that's full in body, with soft tannins and punchy acidity. A crisp, toasty and lightly blackened flavor profile ends with some complexity and length. Drink this elegant and well-made Tannat through 2020.";"Deicas";"90";"24";"Uruguay";NA;"Michael Schachner";"Familia Deicas 2015 Deicas Tannat (Uruguay)";"Tannat";"Familia Deicas"
"115124";"Uruguay";"While this smells a bit rough and herbal, it's more generous than the winery's varietal Tannat. This Merlot has some of the same scratchy qualities of the Tannat, but it shows more body and richness as well as riper black-fruit flavors.";"Premium Varietal";"84";"16";"Canelones";NA;"Michael Schachner";"Marichal 2011 Premium Varietal Merlot (Canelones)";"Merlot";"Marichal"
"114011";"Uruguay";"Plum, blueberry, tea and earth notes make for an interesting set of aromas. This is a very good example of Uruguayan Tannat, even if the tannins are unresolved and clampy. Toasty top flavors shadow blueberry fruit, while this is dark and slightly bitter on the finish. Drink this tasty but choppy wine through 2020.";"Las Brujas";"89";"22";"Canelones";NA;"Michаel Schаchner";"Gimenez Mendez 2015 Las Brujas Tannat (Canelones)";"Tannat";"Gimenez Mendez"
"114011";"Uruguay";"Plum, blueberry, tea and earth notes make for an interesting set of aromas. This is a very good example of Uruguayan Tannat, even if the tannins are unresolved and clampy. Toasty top flavors shadow blueberry fruit, while this is dark and slightly bitter on the finish. Drink this tasty but choppy wine through 2020.";"Las Brujas";"89";"22";"Canelones";NA;"Michаеl Schаchnеr";"Gimenez Mendez 2015 Las Brujas Tannat (Canelones)";"Tannat";"Gimenez Mendez"
"112438";"Uruguay";"This is a light, soupy smelling, gritty feeling wine with a modest body and hard acidity. Thus it cries out for simple, food-friendly pairings like pizza. Along the way you'll encounter herbal red-fruit flavors, spice and juicy acids that cause roughness.";"Premium Varietal";"83";"16";"Canelones";NA;"Michаеl Schаchnеr";"Marichal 2011 Premium Varietal Tannat (Canelones)";"Tannat";"Marichal"
"109247";"Uruguay";"Orange and tangerine aromas include notes of lime and Mr. Clean. This blend of Gewürztraminer, Chardonnay and Moscato feels healthy and properly acidic. Flavors of pineapple, doughnut peach and honey finish with just enough zest and cut. Drink now.";"Estival";"87";"15";"Atlantida";NA;"Michael Schachner";"Viñedo de los Vientos 2016 Estival White (Atlantida)";"White Blend";"Viñedo de los Vientos"
"109229";"Uruguay";"No kidding that this was aged in oak (Criado en Roble). It smells charred and toasty, with resiny aromas thrown in. A full, seemingly healthy palate can handle the high level of wood this has, but, in the end, oak is mostly what this tastes like. A dry spicy tannic finish doesn't break the chain.";"Criado en Roble";"87";"20";"Canelones";NA;"Michael Schachner";"Montes Toscanini 2015 Criado en Roble Tannat (Canelones)";"Tannat";"Montes Toscanini"
"107146";"Uruguay";"Waxy, stalky aromas provide little to no varietal familiarity. This is acid-driven, with lemon and underripe pineapple flavors along with wheaty, stalky aftershocks. The fresh and tangy feel turns bitter on the finish.";"Premium Varietal";"80";"16";"Canelones";NA;"Michael Schachner";"Marichal 2012 Premium Varietal Chardonnay (Canelones)";"Chardonnay";"Marichal"
"105851";"Uruguay";"Aromas of tea, tomato and Chinese spices accent lightweight cherry and currant notes. This is elegant and fresh, with good balance and more than enough oak character. Spicy flavors of nutmeg accent plum and red-berry flavors prior to a long dry finish. This is classy and complex; drink through 2018.";"Single Vineyard";"90";"30";"Uruguay";NA;"Michael Schachner";"Garzón 2015 Single Vineyard Pinot Noir (Uruguay)";"Pinot Noir";"Garzón"
"105416";"Uruguay";"Stewed aromas of berry fruit and leather with green notes get this Tannat-Merlot blend going. Lively acidity and tannins create an aggressive mouthfeel, while flavors of vanilla and baked berry fruit finish round.";NA;"86";"16";"Canelones";NA;"Michael Schachner";"Artesana 2012 Tannat-Merlot (Canelones)";"Tannat-Merlot";"Artesana"
"105416";"Uruguay";"Stewed aromas of berry fruit and leather with green notes get this Tannat-Merlot blend going. Lively acidity and tannins create an aggressive mouthfeel, while flavors of vanilla and baked berry fruit finish round.";NA;"86";"16";"Canelones";NA;"Michаеl Schаchnеr";"Artesana 2012 Tannat-Merlot (Canelones)";"Tannat-Merlot";"Artesana"
"104527";"Uruguay";"Woody berry aromas are solid but standard. This blend of Marselán, Tannat and Merlot is hard as nails, with rubbery tannins. Saucy plum flavors are green and spicy, while this shows abrasive residual tannins on a firm but limited finish.";"Noble Alianza Reserva Marselan-Tannat-Merlot";"85";"13";"Uruguay";NA;"Michael Schachner";"Familia Traversa 2015 Noble Alianza Reserva Marselan-Tannat-Merlot Red (Uruguay)";"Red Blend";"Familia Traversa"
"104516";"Uruguay";"Black-cherry aromas include a note of rubber. This wine feels raw, linear and monotone. Lean punchy flavors of plum and currant are tart, while this finishes with drying tannins and notes of tomato and herbs.";"Reserva Las Violatas";"85";"14";"Uruguay";NA;"Michаel Schаchner";"Bodegas Carrau 2015 Reserva Las Violatas Tannat (Uruguay)";"Tannat";"Bodegas Carrau"
